MachineID,MachineType,Temperature_C,Vibration_mm_s,Voltage_V,Current_A,Power_Consumption_kWh,Runtime_Hours,Failure_Status
M00001,Type_15,77.3,1.79,212.9,15.85,3.037,541.8,0
M00002,Type_16,55.78,3.18,218.7,13.55,2.667,455.5,0
M00003,Type_07,59.18,3.64,222.3,11.0,2.201,643.9,0
M00004,Type_24,56.43,1.91,214.6,16.19,3.127,150.2,0
M00005,Type_18,57.3,1.3,216.5,13.11,2.554,595.6,0
M00006,Type_01,53.64,0.25,224.6,17.37,3.511,77.8,0
M00007,Type_16,61.46,1.4,217.5,11.24,2.2,430.9,0
M00008,Type_03,81.15,2.78,217.1,20.51,4.007,329.6,1
M00009,Type_06,88.33,10.77,237.1,46.14,9.846,69.3,1
M00010,Type_02,44.1,1.02,226.6,13.23,2.698,648.5,0
M00011,Type_23,64.53,1.04,218.4,12.67,2.49,63.7,0
M00012,Type_25,59.79,3.26,221.8,9.16,1.829,827.3,0
M00013,Type_12,50.92,0.8,225.0,15.8,3.2,117.9,0
M00014,Type_13,66.57,0.9,219.9,15.56,3.079,488.2,0
M00015,Type_15,70.51,2.42,222.1,11.2,2.239,196.9,0
M00016,Type_10,76.35,3.32,219.8,13.77,2.724,221.1,0
M00017,Type_18,63.81,1.38,220.6,13.55,2.69,90.4,0
M00018,Type_15,57.42,1.27,228.2,11.47,2.356,236.1,0
M00019,Type_09,59.96,1.46,218.2,14.05,2.759,527.3,0
M00020,Type_12,73.22,3.34,220.1,17.31,3.429,669.6,0
M00021,Type_17,70.45,2.98,221.4,13.54,2.698,977.2,0
M00022,Type_24,52.65,2.61,207.6,16.73,3.126,123.5,0
M00023,Type_10,62.77,1.52,217.2,22.0,4.301,998.4,0
M00024,Type_07,66.04,2.03,216.4,14.84,2.89,498.8,0
M00025,Type_25,29.86,2.84,222.9,16.34,3.278,124.2,0
M00026,Type_02,70.95,3.59,216.9,17.43,3.403,285.3,0
M00027,Type_15,79.59,1.84,244.9,15.41,3.397,297.2,1
M00028,Type_01,62.97,1.12,211.8,10.97,2.091,166.7,0
M00029,Type_12,62.11,2.9,220.8,14.11,2.804,136.0,0
M00030,Type_24,62.71,2.09,216.3,16.65,3.241,520.1,0
M00031,Type_10,63.7,2.37,223.3,15.45,3.105,390.4,0
M00032,Type_18,79.11,0.1,223.3,16.56,3.328,435.0,0
M00033,Type_19,65.67,1.96,217.4,12.99,2.542,325.9,0
M00034,Type_14,67.2,3.28,222.5,9.66,1.934,905.1,0
M00035,Type_07,60.94,3.11,220.5,16.7,3.314,822.0,0
M00036,Type_16,70.12,2.86,233.6,13.55,2.849,763.5,1
M00037,Type_19,41.31,2.3,219.0,10.96,2.16,656.5,0
M00038,Type_12,78.53,3.62,221.2,22.17,4.414,392.7,0
M00039,Type_17,79.44,2.77,200.0,9.67,1.741,199.3,1
M00040,Type_08,71.3,1.25,218.6,18.1,3.561,184.0,0
M00041,Type_03,87.72,0.83,220.5,4.2,0.833,888.3,1
M00042,Type_06,74.49,2.97,218.8,14.87,2.928,216.8,0
M00043,Type_13,71.91,3.63,211.1,21.04,3.997,900.0,0
M00044,Type_03,67.57,1.89,226.6,16.41,3.347,409.9,0
M00045,Type_07,71.31,2.66,223.2,16.45,3.304,204.7,0
M00046,Type_15,66.86,2.06,221.8,11.93,2.381,701.6,0
M00047,Type_21,57.86,0.9,219.9,20.31,4.02,874.3,0
M00048,Type_25,68.87,2.1,214.1,11.94,2.301,126.1,0
M00049,Type_05,71.09,1.61,226.8,17.36,3.544,188.0,0
M00050,Type_25,82.68,1.34,220.9,16.18,3.217,358.1,0
M00051,Type_25,68.88,0.97,213.6,18.25,3.508,430.9,0
M00052,Type_06,63.86,2.63,222.9,13.62,2.732,535.9,0
M00053,Type_01,70.44,0.78,218.9,11.69,2.303,707.8,0
M00054,Type_02,65.85,3.9,220.3,16.43,3.258,514.8,0
M00055,Type_21,49.51,2.56,223.8,14.3,2.88,427.3,0
M00056,Type_20,57.0,1.67,221.1,16.46,3.275,223.8,0
M00057,Type_21,50.94,0.19,222.4,15.05,3.012,727.0,0
M00058,Type_12,71.45,3.26,214.7,11.41,2.205,209.1,0
M00059,Type_12,65.8,0.58,220.5,13.47,2.673,709.5,0
M00060,Type_10,62.82,3.14,221.5,18.38,3.664,666.7,0
M00061,Type_24,61.82,3.74,219.0,16.14,3.181,92.6,0
M00062,Type_05,85.08,3.03,219.8,17.65,3.492,874.7,0
M00063,Type_06,61.98,1.16,224.1,11.09,2.237,413.8,0
M00064,Type_21,72.07,3.25,216.9,19.89,3.883,894.1,0
M00065,Type_08,77.67,1.97,216.1,17.14,3.334,696.4,0
M00066,Type_03,43.66,3.68,210.9,17.88,3.394,771.8,0
M00067,Type_06,50.24,1.75,218.7,14.07,2.769,920.4,0
M00068,Type_18,46.4,1.62,221.7,13.99,2.791,788.0,0
M00069,Type_03,53.01,1.39,218.8,13.23,2.605,702.3,0
M00070,Type_25,60.32,2.58,213.1,17.92,3.437,323.4,0
M00071,Type_13,58.27,2.76,214.2,14.88,2.869,827.3,0
M00072,Type_16,61.12,2.74,221.3,17.08,3.402,151.3,0
M00073,Type_15,79.1,1.82,223.2,14.39,2.891,268.4,0
M00074,Type_23,66.24,2.77,219.0,15.29,3.014,223.7,0
M00075,Type_18,68.79,1.42,223.8,11.8,2.377,877.5,0
M00076,Type_21,66.37,1.81,218.8,15.54,3.06,733.1,0
M00077,Type_01,59.86,0.6,221.4,16.84,3.356,650.7,0
M00078,Type_06,60.46,1.04,216.7,16.66,3.249,807.7,0
M00079,Type_19,55.21,2.73,220.0,11.03,2.184,683.1,0
M00080,Type_05,67.69,2.71,226.1,12.72,2.588,78.5,0
M00081,Type_20,64.32,2.26,220.1,11.74,2.326,194.2,0
M00082,Type_13,64.28,1.35,217.2,9.04,1.767,447.1,0
M00083,Type_25,54.27,1.99,211.8,16.3,3.107,628.4,0
M00084,Type_06,61.57,3.3,226.9,14.19,2.898,730.4,0
M00085,Type_05,63.33,1.32,212.8,14.57,2.79,312.2,0
M00086,Type_25,40.07,0.26,218.1,5.72,1.123,381.0,1
M00087,Type_01,70.07,1.21,217.5,12.22,2.392,343.2,0
M00088,Type_02,58.07,1.85,226.2,15.2,3.094,694.6,0
M00089,Type_18,44.89,1.63,224.9,10.21,2.067,289.5,0
M00090,Type_22,73.03,0.38,222.9,14.52,2.913,734.4,0
M00091,Type_16,50.91,2.45,217.4,13.16,2.575,632.2,0
M00092,Type_19,65.04,3.29,200.0,18.06,3.251,931.4,1
M00093,Type_23,76.82,1.12,229.7,13.61,2.814,444.7,0
M00094,Type_08,64.59,1.48,218.2,12.47,2.449,675.0,0
M00095,Type_06,74.85,1.07,225.1,14.41,2.919,773.4,0
M00096,Type_06,55.65,1.93,228.0,8.44,1.732,855.1,0
M00097,Type_14,57.28,1.41,222.8,8.51,1.706,83.7,0
M00098,Type_05,74.22,2.92,215.3,14.19,2.75,809.0,0
M00099,Type_14,69.64,2.05,230.2,16.96,3.514,580.3,1
M00100,Type_19,68.16,3.63,218.3,13.74,2.699,607.5,0
M00101,Type_11,43.11,2.78,214.2,15.02,2.896,74.9,0
M00102,Type_06,64.59,0.1,218.2,17.92,3.519,621.9,0
M00103,Type_24,49.66,1.83,217.6,10.94,2.142,816.1,0
M00104,Type_10,69.77,1.1,209.5,18.45,3.479,755.0,0
M00105,Type_17,65.43,0.99,214.3,9.3,1.794,467.8,0
M00106,Type_13,62.26,2.82,219.6,15.73,3.109,492.9,0
M00107,Type_10,73.52,1.59,233.1,11.91,2.499,66.1,0
M00108,Type_24,40.54,2.35,219.5,15.54,3.07,452.2,0
M00109,Type_09,53.16,0.6,215.8,16.94,3.29,972.7,0
M00110,Type_18,56.44,0.16,216.8,11.19,2.183,719.9,0
M00111,Type_14,60.67,3.04,211.2,14.08,2.676,599.4,0
M00112,Type_03,71.71,2.81,216.5,18.37,3.579,621.4,0
M00113,Type_14,71.7,4.1,221.0,12.13,2.413,960.4,0
M00114,Type_07,64.47,3.93,219.6,14.31,2.828,411.1,0
M00115,Type_16,60.18,4.04,229.3,15.17,3.131,749.4,0
M00116,Type_19,67.9,3.24,221.8,12.82,2.559,788.2,0
M00117,Type_10,75.96,1.87,224.6,9.68,1.957,414.2,0
M00118,Type_16,59.33,1.48,216.6,14.74,2.873,164.4,0
M00119,Type_17,65.99,1.56,229.0,17.86,3.681,945.3,0
M00120,Type_23,62.09,2.11,225.9,18.49,3.759,631.5,0
M00121,Type_23,79.15,1.29,217.2,18.82,3.679,728.9,0
M00122,Type_13,66.18,1.14,223.9,15.59,3.142,495.5,0
M00123,Type_10,60.73,0.1,216.4,10.22,1.99,887.7,0
M00124,Type_06,75.53,3.15,213.3,14.16,2.718,491.2,0
M00125,Type_14,52.78,9.1,212.7,13.59,2.602,259.2,1
M00126,Type_01,69.95,3.69,218.3,58.26,11.446,403.5,1
M00127,Type_09,68.26,1.02,224.5,16.37,3.308,532.4,0
M00128,Type_14,59.7,3.08,211.1,21.21,4.03,800.0,0
M00129,Type_20,60.55,2.21,218.1,13.3,2.611,439.0,0
M00130,Type_12,75.76,1.24,224.7,15.7,3.175,580.7,0
M00131,Type_09,49.35,2.03,219.8,20.72,4.099,891.2,0
M00132,Type_10,78.36,2.31,221.2,20.09,4.0,635.5,0
M00133,Type_13,57.83,2.6,210.8,13.14,2.493,299.5,0
M00134,Type_08,62.27,2.96,218.1,15.05,2.954,616.7,0
