BatchID,ProductID,SupplierID,AssemblyShift,Defect_Count,QA_Passed
BATCH_0001,7,7,Ca Sáng,0,1
BATCH_0002,20,4,Ca Đêm,2,1
BATCH_0003,15,1,Ca Đêm,1,1
BATCH_0004,11,5,Ca Chiều,1,1
BATCH_0005,8,7,Ca Chiều,1,1
BATCH_0006,21,10,Ca Chiều,0,1
BATCH_0007,7,10,Ca Sáng,2,1
BATCH_0008,19,6,Ca Sáng,1,1
BATCH_0009,23,5,Ca Chiều,2,1
BATCH_0010,11,4,Ca Sáng,0,1
BATCH_0011,11,2,Ca Chiều,2,1
BATCH_0012,24,4,Ca Đêm,1,1
BATCH_0013,21,10,Ca Chiều,1,1
BATCH_0014,4,10,Ca Đêm,0,1
BATCH_0015,8,3,Ca Sáng,0,1
BATCH_0016,24,10,Ca Chiều,23,0
BATCH_0017,3,1,Ca Sáng,0,1
BATCH_0018,22,8,Ca Đêm,2,1
BATCH_0019,21,5,Ca Đêm,20,0
BATCH_0020,2,4,Ca Đêm,38,0
BATCH_0021,24,8,Ca Sáng,0,1
BATCH_0022,12,7,Ca Sáng,21,0
BATCH_0023,6,2,Ca Sáng,22,0
BATCH_0024,2,1,Ca Sáng,24,0
BATCH_0025,21,4,Ca Đêm,0,1
BATCH_0026,1,8,Ca Đêm,0,1
BATCH_0027,12,2,Ca Chiều,20,0
BATCH_0028,22,3,Ca Chiều,1,1
BATCH_0029,12,1,Ca Sáng,23,0
BATCH_0030,25,1,Ca Đêm,49,0
BATCH_0031,17,3,Ca Đêm,1,1
BATCH_0032,10,5,Ca Đêm,17,0
BATCH_0033,16,3,Ca Chiều,1,1
BATCH_0034,15,1,Ca Chiều,0,1
BATCH_0035,15,1,Ca Đêm,23,0
BATCH_0036,19,8,Ca Đêm,48,0
BATCH_0037,12,10,Ca Đêm,2,1
BATCH_0038,23,2,Ca Chiều,0,1
BATCH_0039,20,3,Ca Đêm,39,0
BATCH_0040,25,2,Ca Đêm,23,0
BATCH_0041,3,3,Ca Sáng,0,1
BATCH_0042,5,7,Ca Sáng,2,1
BATCH_0043,19,1,Ca Chiều,2,1
BATCH_0044,7,10,Ca Đêm,2,1
BATCH_0045,21,8,Ca Đêm,1,1
BATCH_0046,9,10,Ca Sáng,0,1
BATCH_0047,7,10,Ca Chiều,0,1
BATCH_0048,18,10,Ca Sáng,0,1
BATCH_0049,4,2,Ca Sáng,0,1
BATCH_0050,25,3,Ca Sáng,0,1
BATCH_0051,14,9,Ca Sáng,2,1
BATCH_0052,18,7,Ca Đêm,1,1
BATCH_0053,9,4,Ca Đêm,0,1
BATCH_0054,21,10,Ca Sáng,1,1
BATCH_0055,2,5,Ca Chiều,0,1
BATCH_0056,20,2,Ca Chiều,0,1
BATCH_0057,15,8,Ca Chiều,0,1
BATCH_0058,7,4,Ca Chiều,1,1
BATCH_0059,12,9,Ca Sáng,2,1
