ShipmentID,OrderID,Carrier,TrackingNumber,ShipDate,DeliveryDate,Status,Notes
1,1,Giao Hàng Nhanh,GHN0000011409,2023-01-16,2023-01-20,Delivered,
2,2,Giao Hàng Tiết Kiệm,GHTK0000022679,2023-01-16,2023-01-23,Delivered,
3,3,Giao Hàng Nhanh,GHN0000037912,2023-01-20,2023-01-22,Delivered,
4,4,Giao Hàng Tiết Kiệm,GHTK0000049279,2023-01-26,2023-01-28,Delivered,
5,5,VNPost,VNP0000057873,2023-01-15,2023-01-20,Delivered,
6,6,Giao Hàng Nhanh,GHN0000063615,2023-01-05,2023-01-10,Delivered,
7,7,Giao Hàng Tiết Kiệm,GHTK0000074527,2023-01-24,2023-01-26,Delivered,
8,8,Giao Hàng Nhanh,GHN0000086881,2023-01-05,2023-01-11,Delivered,
9,9,Giao Hàng Nhanh,GHN0000098527,2023-01-14,2023-01-16,Failed,Địa chỉ không tồn tại
10,10,Giao Hàng Nhanh,GHN0000105803,2023-01-16,2023-01-22,Delivered,
11,11,J&T Express,JT0000114150,2023-01-28,2023-01-30,Delivered,
12,12,Giao Hàng Tiết Kiệm,GHTK0000125741,2023-01-11,2023-01-14,Delivered,
13,13,Viettel Post,VTP0000135554,2023-01-30,2023-02-06,Delivered,
14,14,Giao Hàng Tiết Kiệm,GHTK0000147065,2023-01-29,2023-02-01,Delivered,
15,15,Giao Hàng Nhanh,GHN0000153803,2023-01-30,2023-02-06,Delivered,
16,16,Viettel Post,VTP0000167216,2023-01-15,2023-01-22,Delivered,
17,17,Giao Hàng Tiết Kiệm,GHTK0000176313,2023-01-08,2023-01-11,Delivered,
18,18,J&T Express,JT0000187572,2023-01-16,2023-01-18,Delivered,
19,19,VNPost,VNP0000196155,2023-01-27,2023-02-03,Delivered,
20,20,Viettel Post,VTP0000203340,2023-01-24,2023-01-27,Delivered,
21,21,VNPost,VNP0000219830,2023-01-13,2023-01-20,Delivered,
22,22,VNPost,VNP0000227543,2023-01-24,2023-01-27,Returned,"Hàng lỗi, khách yêu cầu trả lại"
23,23,VNPost,VNP0000239085,2023-01-29,2023-01-31,Delivered,
24,24,Giao Hàng Tiết Kiệm,GHTK0000243621,2023-01-13,2023-01-18,Delivered,
25,25,Viettel Post,VTP0000257252,2023-01-24,2023-01-29,Delivered,
26,26,VNPost,VNP0000261188,2023-01-06,2023-01-13,Delivered,
27,27,VNPost,VNP0000275371,2023-01-24,2023-01-28,Delivered,
28,28,Viettel Post,VTP0000283591,2023-01-08,2023-01-10,Failed,Quá thời gian giao hàng quy định
29,29,J&T Express,JT0000299201,2023-01-10,2023-01-16,Delivered,
30,30,J&T Express,JT0000309317,2023-01-24,2023-01-27,Delivered,
31,31,Giao Hàng Tiết Kiệm,GHTK0000319837,2023-01-27,2023-01-29,Delivered,
32,32,Viettel Post,VTP0000321319,2023-02-14,2023-02-18,Delivered,
33,33,J&T Express,JT0000334923,2023-02-28,2023-03-03,Delivered,
34,34,Giao Hàng Nhanh,GHN0000342403,2023-02-09,2023-02-14,Delivered,
35,35,VNPost,VNP0000353060,2023-02-07,2023-02-14,Delivered,
36,36,VNPost,VNP0000363705,2023-02-20,2023-02-26,Delivered,
37,37,Viettel Post,VTP0000374470,2023-02-23,2023-03-02,Delivered,
38,38,J&T Express,JT0000387537,2023-02-17,2023-02-24,Delivered,
39,39,VNPost,VNP0000398397,2023-02-18,2023-02-21,Delivered,
40,40,J&T Express,JT0000401344,2023-02-06,2023-02-12,Delivered,
41,41,Giao Hàng Tiết Kiệm,GHTK0000411117,2023-02-02,2023-02-09,Delivered,
42,42,Giao Hàng Tiết Kiệm,GHTK0000422104,2023-02-11,2023-02-15,Delivered,
43,43,Giao Hàng Tiết Kiệm,GHTK0000435562,2023-02-14,2023-02-19,Delivered,
44,44,Giao Hàng Tiết Kiệm,GHTK0000448744,2023-02-24,2023-03-01,Delivered,
45,45,Giao Hàng Tiết Kiệm,GHTK0000452545,2023-02-18,2023-02-25,Delivered,
46,46,Viettel Post,VTP0000467735,2023-02-03,2023-02-10,Delivered,
47,47,Giao Hàng Nhanh,GHN0000471993,2023-02-04,2023-02-11,Delivered,
48,48,Giao Hàng Nhanh,GHN0000485073,2023-02-18,2023-02-21,Delivered,
49,49,Giao Hàng Tiết Kiệm,GHTK0000497912,2023-02-15,2023-02-19,Delivered,
50,50,Giao Hàng Nhanh,GHN0000508260,2023-02-11,2023-02-13,Delivered,
51,51,VNPost,VNP0000511241,2023-02-09,2023-02-12,Delivered,
52,52,Viettel Post,VTP0000528886,2023-02-17,2023-02-22,Delivered,
53,53,Giao Hàng Tiết Kiệm,GHTK0000537209,2023-02-12,2023-02-17,Delivered,
54,54,Viettel Post,VTP0000545673,2023-02-21,2023-02-28,Failed,Hàng bị hư hỏng trong quá trình vận chuyển
55,55,Viettel Post,VTP0000553536,2023-03-24,2023-03-28,Delivered,
56,56,Giao Hàng Nhanh,GHN0000569883,2023-03-06,2023-03-13,Delivered,
57,57,Giao Hàng Nhanh,GHN0000578811,2023-03-16,2023-03-22,Delivered,
58,58,VNPost,VNP0000582312,2023-03-12,2023-03-14,Delivered,
59,59,Giao Hàng Tiết Kiệm,GHTK0000597615,2023-03-23,2023-03-29,Delivered,
60,60,VNPost,VNP0000601651,2023-03-26,2023-03-28,Delivered,
61,61,VNPost,VNP0000619565,2023-03-13,2023-03-17,Delivered,
62,62,J&T Express,JT0000624910,2023-03-17,2023-03-22,Delivered,
63,63,J&T Express,JT0000638491,2023-03-03,2023-03-05,Delivered,
64,64,VNPost,VNP0000642638,2023-03-09,2023-03-15,Delivered,
65,65,J&T Express,JT0000653170,2023-03-11,2023-03-13,Delivered,
66,66,J&T Express,JT0000665669,2023-03-06,2023-03-11,Delivered,
67,67,J&T Express,JT0000679666,2023-03-23,2023-03-30,Delivered,
68,68,J&T Express,JT0000682697,2023-03-06,2023-03-10,Delivered,
69,69,Giao Hàng Nhanh,GHN0000693546,2023-03-15,2023-03-19,Delivered,
70,70,J&T Express,JT0000704335,2023-03-27,2023-04-03,Delivered,
71,71,VNPost,VNP0000719004,2023-03-09,2023-03-11,Delivered,
72,72,Viettel Post,VTP0000725533,2023-03-16,2023-03-18,Delivered,
73,73,Giao Hàng Tiết Kiệm,GHTK0000735291,2023-03-04,2023-03-11,Delivered,
74,74,Viettel Post,VTP0000741158,2023-03-27,2023-03-29,Delivered,
75,75,Giao Hàng Tiết Kiệm,GHTK0000759938,2023-03-08,2023-03-12,Delivered,
76,76,Giao Hàng Tiết Kiệm,GHTK0000768041,2023-03-10,2023-03-12,Delivered,
77,77,Giao Hàng Nhanh,GHN0000776862,2023-03-02,2023-03-09,Delivered,
78,78,Giao Hàng Nhanh,GHN0000786794,2023-03-12,2023-03-17,Failed,Quá thời gian giao hàng quy định
79,79,Giao Hàng Tiết Kiệm,GHTK0000794878,2023-03-19,2023-03-22,Delivered,
80,80,Giao Hàng Nhanh,GHN0000803938,2023-03-15,2023-03-19,Delivered,
81,81,Viettel Post,VTP0000815065,2023-03-16,2023-03-19,Delivered,
82,82,Giao Hàng Nhanh,GHN0000827267,2023-03-19,2023-03-24,Delivered,
83,83,Viettel Post,VTP0000836728,2023-03-04,2023-03-07,Delivered,
84,84,Giao Hàng Tiết Kiệm,GHTK0000847528,2023-04-21,2023-04-25,Delivered,
85,85,J&T Express,JT0000856753,2023-04-15,2023-04-21,Delivered,
86,86,VNPost,VNP0000866425,2023-04-10,2023-04-12,Delivered,
87,87,J&T Express,JT0000873925,2023-04-21,2023-04-25,Delivered,
88,88,VNPost,VNP0000888119,2023-04-12,2023-04-19,Delivered,
89,89,Viettel Post,VTP0000899379,2023-04-03,2023-04-08,Delivered,
90,90,Giao Hàng Tiết Kiệm,GHTK0000905173,2023-04-06,2023-04-13,Delivered,
91,91,VNPost,VNP0000919821,2023-04-27,2023-05-04,Delivered,
92,92,Giao Hàng Tiết Kiệm,GHTK0000926967,2023-04-09,2023-04-11,Delivered,
93,93,J&T Express,JT0000936143,2023-04-08,2023-04-10,Delivered,
94,94,J&T Express,JT0000949308,2023-04-23,2023-04-30,Delivered,
95,95,Viettel Post,VTP0000955844,2023-04-26,2023-04-29,Delivered,
96,96,Viettel Post,VTP0000963851,2023-04-25,2023-05-01,Delivered,
97,97,VNPost,VNP0000971006,2023-04-16,2023-04-20,Delivered,
98,98,VNPost,VNP0000986279,2023-04-27,2023-05-02,Delivered,
99,99,Giao Hàng Tiết Kiệm,GHTK0000999375,2023-04-15,2023-04-22,Delivered,
100,100,Giao Hàng Nhanh,GHN0001005649,2023-04-21,2023-04-28,Delivered,
101,101,J&T Express,JT0001012530,2023-04-21,2023-04-28,Delivered,
102,102,Giao Hàng Tiết Kiệm,GHTK0001023414,2023-04-14,2023-04-16,Delivered,
103,103,Viettel Post,VTP0001032193,2023-04-05,2023-04-10,Delivered,
104,104,VNPost,VNP0001044185,2023-04-11,2023-04-18,Delivered,
105,105,Viettel Post,VTP0001054997,2023-04-10,2023-04-17,Delivered,
106,106,Giao Hàng Nhanh,GHN0001067965,2023-04-21,2023-04-24,Delivered,
107,107,VNPost,VNP0001078611,2023-04-16,2023-04-22,Delivered,
108,108,Giao Hàng Nhanh,GHN0001088478,2023-04-26,2023-05-01,Delivered,
109,109,VNPost,VNP0001096198,2023-04-13,2023-04-19,Delivered,
110,110,VNPost,VNP0001107991,2023-04-21,2023-04-26,Delivered,
111,111,Viettel Post,VTP0001118373,2023-04-11,2023-04-14,Delivered,
112,112,J&T Express,JT0001129540,2023-04-04,2023-04-11,Delivered,
113,113,Viettel Post,VTP0001132269,2023-04-14,2023-04-18,Delivered,
114,114,J&T Express,JT0001146238,2023-04-05,2023-04-07,Delivered,
115,115,Giao Hàng Tiết Kiệm,GHTK0001157275,2023-04-30,2023-05-03,Delivered,
116,116,Giao Hàng Nhanh,GHN0001167797,2023-04-23,2023-04-27,Delivered,
117,117,Viettel Post,VTP0001172020,2023-04-05,2023-04-10,Delivered,
118,118,VNPost,VNP0001181320,2023-04-09,2023-04-14,Delivered,
119,119,J&T Express,JT0001195892,2023-05-15,2023-05-20,Delivered,
120,120,VNPost,VNP0001204613,2023-05-06,2023-05-09,Delivered,
121,121,Viettel Post,VTP0001211475,2023-05-30,2023-06-03,Delivered,
122,122,Viettel Post,VTP0001223704,2023-05-08,2023-05-11,Returned,"Khách hàng đổi ý, yêu cầu hoàn hàng"
123,123,Viettel Post,VTP0001231444,2023-05-17,2023-05-24,Delivered,
124,124,Viettel Post,VTP0001243977,2023-05-03,2023-05-07,Delivered,
125,125,Giao Hàng Tiết Kiệm,GHTK0001258449,2023-05-20,2023-05-24,Delivered,
126,126,Viettel Post,VTP0001265558,2023-05-22,2023-05-26,Delivered,
127,127,Viettel Post,VTP0001271317,2023-05-17,2023-05-23,Delivered,
128,128,J&T Express,JT0001284673,2023-05-05,2023-05-07,Delivered,
129,129,Giao Hàng Nhanh,GHN0001291508,2023-05-29,2023-06-01,Delivered,
130,130,VNPost,VNP0001303496,2023-05-05,2023-05-08,Delivered,
131,131,Giao Hàng Nhanh,GHN0001314571,2023-05-15,2023-05-22,Delivered,
132,132,J&T Express,JT0001323749,2023-05-06,2023-05-12,Failed,Quá thời gian giao hàng quy định
133,133,Giao Hàng Nhanh,GHN0001333683,2023-05-09,2023-05-11,Delivered,
134,134,J&T Express,JT0001347149,2023-05-30,2023-06-06,Delivered,
135,135,VNPost,VNP0001354978,2023-05-05,2023-05-12,Delivered,
136,136,VNPost,VNP0001362983,2023-05-22,2023-05-24,Delivered,
137,137,Viettel Post,VTP0001377071,2023-05-19,2023-05-25,Delivered,
138,138,Giao Hàng Nhanh,GHN0001387882,2023-05-11,2023-05-13,Delivered,
139,139,J&T Express,JT0001398532,2023-05-19,2023-05-22,Delivered,
140,140,VNPost,VNP0001405425,2023-05-06,2023-05-12,Delivered,
141,141,Viettel Post,VTP0001418136,2023-05-29,2023-06-04,Delivered,
142,142,Giao Hàng Tiết Kiệm,GHTK0001422419,2023-05-19,2023-05-24,Delivered,
143,143,Viettel Post,VTP0001437209,2023-05-13,2023-05-15,Delivered,
144,144,J&T Express,JT0001443979,2023-05-21,2023-05-24,Delivered,
145,145,J&T Express,JT0001456576,2023-05-17,2023-05-23,Delivered,
146,146,J&T Express,JT0001461166,2023-05-31,2023-06-03,Delivered,
147,147,Viettel Post,VTP0001479004,2023-05-12,2023-05-15,Delivered,
148,148,Viettel Post,VTP0001488342,2023-05-06,2023-05-08,Delivered,
149,149,Viettel Post,VTP0001494986,2023-05-16,2023-05-23,Delivered,
150,150,Viettel Post,VTP0001509698,2023-05-22,2023-05-27,Returned,"Giao sai sản phẩm, hoàn trả về kho"
151,151,J&T Express,JT0001518434,2023-05-06,2023-05-10,Delivered,
152,152,Giao Hàng Nhanh,GHN0001524155,2023-05-28,2023-05-30,Delivered,
153,153,Giao Hàng Tiết Kiệm,GHTK0001534138,2023-05-14,2023-05-21,Delivered,
154,154,VNPost,VNP0001549595,2023-05-13,2023-05-17,Returned,"Hàng lỗi, khách yêu cầu trả lại"
155,155,J&T Express,JT0001554727,2023-05-07,2023-05-10,Delivered,
156,156,VNPost,VNP0001563073,2023-06-28,2023-06-30,Failed,Hàng bị hư hỏng trong quá trình vận chuyển
157,157,J&T Express,JT0001573068,2023-06-17,2023-06-22,Delivered,
158,158,Giao Hàng Nhanh,GHN0001585658,2023-06-22,2023-06-27,Delivered,
159,159,Giao Hàng Tiết Kiệm,GHTK0001591841,2023-06-20,2023-06-25,Delivered,
160,160,Giao Hàng Nhanh,GHN0001607565,2023-06-03,2023-06-05,Delivered,
161,161,Giao Hàng Nhanh,GHN0001613485,2023-06-14,2023-06-20,Delivered,
162,162,Giao Hàng Nhanh,GHN0001625066,2023-06-15,2023-06-21,Delivered,
163,163,VNPost,VNP0001634697,2023-06-11,2023-06-16,Delivered,
164,164,Viettel Post,VTP0001645871,2023-06-04,2023-06-09,Delivered,
165,165,VNPost,VNP0001651986,2023-06-19,2023-06-26,Delivered,
166,166,Giao Hàng Tiết Kiệm,GHTK0001664457,2023-06-21,2023-06-28,Delivered,
167,167,Giao Hàng Tiết Kiệm,GHTK0001673847,2023-06-26,2023-06-28,Delivered,
168,168,Viettel Post,VTP0001688381,2023-06-26,2023-07-02,Delivered,
169,169,Giao Hàng Nhanh,GHN0001694792,2023-06-26,2023-07-03,Delivered,
170,170,Viettel Post,VTP0001702166,2023-06-16,2023-06-19,Delivered,
171,171,VNPost,VNP0001714241,2023-06-28,2023-06-30,Delivered,
172,172,Giao Hàng Tiết Kiệm,GHTK0001725352,2023-06-15,2023-06-17,Delivered,
173,173,J&T Express,JT0001735728,2023-06-07,2023-06-09,Delivered,
174,174,J&T Express,JT0001747594,2023-06-11,2023-06-17,Delivered,
175,175,Viettel Post,VTP0001752317,2023-06-23,2023-06-25,Delivered,
176,176,J&T Express,JT0001765102,2023-06-16,2023-06-18,Delivered,
177,177,VNPost,VNP0001771339,2023-06-17,2023-06-21,Delivered,
178,178,Giao Hàng Tiết Kiệm,GHTK0001788708,2023-06-28,2023-07-05,Delivered,
179,179,J&T Express,JT0001793973,2023-06-11,2023-06-16,Delivered,
180,180,Viettel Post,VTP0001802494,2023-06-13,2023-06-17,Delivered,
181,181,J&T Express,JT0001812713,2023-06-14,2023-06-18,Delivered,
182,182,Viettel Post,VTP0001825722,2023-06-22,2023-06-27,Delivered,
183,183,VNPost,VNP0001831601,2023-06-28,2023-06-30,Delivered,
184,184,J&T Express,JT0001842899,2023-06-09,2023-06-15,Delivered,
185,185,Giao Hàng Nhanh,GHN0001859889,2023-06-24,2023-06-29,Delivered,
186,186,VNPost,VNP0001866927,2023-06-23,2023-06-28,Delivered,
187,187,Giao Hàng Nhanh,GHN0001874335,2023-06-29,2023-07-05,Delivered,
188,188,J&T Express,JT0001888178,2023-06-28,2023-07-03,Delivered,
189,189,VNPost,VNP0001894920,2023-06-15,2023-06-18,Delivered,
190,190,Giao Hàng Nhanh,GHN0001907684,2023-06-15,2023-06-18,Returned,"Khách hàng đổi ý, yêu cầu hoàn hàng"
191,191,Viettel Post,VTP0001912924,2023-06-11,2023-06-14,Delivered,
192,192,J&T Express,JT0001929337,2023-06-14,2023-06-18,Delivered,
193,193,Viettel Post,VTP0001938736,2023-06-12,2023-06-17,Delivered,
194,194,Viettel Post,VTP0001944122,2023-06-10,2023-06-16,Delivered,
195,195,Giao Hàng Tiết Kiệm,GHTK0001952143,2023-06-19,2023-06-24,Delivered,
196,196,VNPost,VNP0001965377,2023-06-02,2023-06-06,Delivered,
197,197,VNPost,VNP0001979022,2023-06-11,2023-06-16,Delivered,
198,198,J&T Express,JT0001986446,2023-06-16,2023-06-22,Delivered,
199,199,J&T Express,JT0001994090,2023-07-08,2023-07-11,Delivered,
200,200,Giao Hàng Tiết Kiệm,GHTK0002007730,2023-07-14,2023-07-18,Delivered,
201,201,Viettel Post,VTP0002017325,2023-07-25,2023-08-01,Returned,"Khách không nhận, hàng tự động hoàn kho sau 3 lần giao"
202,202,Giao Hàng Nhanh,GHN0002023068,2023-07-07,2023-07-13,Delivered,
203,203,Giao Hàng Nhanh,GHN0002038213,2023-07-19,2023-07-25,Delivered,
204,204,Giao Hàng Nhanh,GHN0002043361,2023-07-07,2023-07-14,Failed,Sai địa chỉ giao hàng
205,205,Viettel Post,VTP0002055342,2023-07-05,2023-07-11,Delivered,
206,206,Giao Hàng Nhanh,GHN0002066383,2023-07-26,2023-08-01,Delivered,
207,207,J&T Express,JT0002078994,2023-07-12,2023-07-14,Delivered,
208,208,Giao Hàng Tiết Kiệm,GHTK0002085708,2023-07-07,2023-07-14,Delivered,
209,209,Giao Hàng Nhanh,GHN0002092646,2023-07-27,2023-07-30,Delivered,
210,210,Giao Hàng Nhanh,GHN0002101753,2023-07-28,2023-07-30,Delivered,
211,211,J&T Express,JT0002118056,2023-07-06,2023-07-09,Delivered,
212,212,VNPost,VNP0002123950,2023-07-24,2023-07-27,Delivered,
213,213,Viettel Post,VTP0002134945,2023-07-26,2023-08-01,Delivered,
214,214,Viettel Post,VTP0002145161,2023-07-03,2023-07-07,Delivered,
215,215,Viettel Post,VTP0002155712,2023-07-13,2023-07-19,Delivered,
216,216,Viettel Post,VTP0002166661,2023-07-13,2023-07-17,Delivered,
217,217,Viettel Post,VTP0002175097,2023-07-19,2023-07-23,Delivered,
218,218,Viettel Post,VTP0002188916,2023-07-26,2023-07-29,Delivered,
219,219,J&T Express,JT0002195847,2023-07-24,2023-07-28,Delivered,
220,220,Viettel Post,VTP0002205497,2023-07-15,2023-07-21,Delivered,
221,221,Giao Hàng Nhanh,GHN0002219138,2023-07-30,2023-08-02,Delivered,
222,222,J&T Express,JT0002224588,2023-07-31,2023-08-03,Delivered,
223,223,Giao Hàng Tiết Kiệm,GHTK0002232591,2023-07-08,2023-07-15,Delivered,
224,224,Viettel Post,VTP0002241546,2023-07-15,2023-07-19,Delivered,
225,225,Giao Hàng Nhanh,GHN0002255835,2023-07-16,2023-07-23,Delivered,
226,226,Giao Hàng Tiết Kiệm,GHTK0002263165,2023-07-06,2023-07-10,Delivered,
227,227,J&T Express,JT0002273695,2023-07-27,2023-08-01,Failed,Khách hàng từ chối nhận hàng
228,228,J&T Express,JT0002282886,2023-07-18,2023-07-20,Delivered,
229,229,Giao Hàng Tiết Kiệm,GHTK0002297511,2023-07-25,2023-07-29,Delivered,
230,230,Viettel Post,VTP0002301228,2023-07-17,2023-07-23,Delivered,
231,231,J&T Express,JT0002315295,2023-07-30,2023-08-04,Delivered,
232,232,J&T Express,JT0002322775,2023-07-14,2023-07-17,Delivered,
233,233,VNPost,VNP0002336374,2023-07-14,2023-07-17,Delivered,
234,234,Viettel Post,VTP0002345951,2023-07-05,2023-07-10,Delivered,
235,235,Giao Hàng Nhanh,GHN0002351609,2023-07-11,2023-07-16,Delivered,
236,236,Giao Hàng Tiết Kiệm,GHTK0002369807,2023-07-05,2023-07-10,Delivered,
237,237,VNPost,VNP0002377866,2023-07-31,2023-08-07,Delivered,
238,238,Viettel Post,VTP0002382622,2023-07-08,2023-07-14,Delivered,
239,239,J&T Express,JT0002391536,2023-07-21,2023-07-25,Delivered,
240,240,Viettel Post,VTP0002404868,2023-07-11,2023-07-13,Returned,"Giao sai sản phẩm, hoàn trả về kho"
241,241,VNPost,VNP0002416876,2023-08-23,2023-08-28,Delivered,
242,242,Giao Hàng Nhanh,GHN0002428450,2023-08-05,2023-08-12,Delivered,
243,243,VNPost,VNP0002431349,2023-08-02,2023-08-06,Delivered,
244,244,Giao Hàng Tiết Kiệm,GHTK0002444362,2023-08-28,2023-09-03,Delivered,
245,245,Giao Hàng Tiết Kiệm,GHTK0002454817,2023-08-09,2023-08-12,Delivered,
246,246,VNPost,VNP0002461046,2023-08-08,2023-08-11,Returned,"Giao sai sản phẩm, hoàn trả về kho"
247,247,Giao Hàng Tiết Kiệm,GHTK0002472801,2023-08-23,2023-08-25,Delivered,
248,248,J&T Express,JT0002484898,2023-08-25,2023-08-29,Delivered,
249,249,J&T Express,JT0002491858,2023-08-28,2023-09-04,Delivered,
250,250,Giao Hàng Nhanh,GHN0002502041,2023-08-16,2023-08-21,Delivered,
251,251,VNPost,VNP0002512786,2023-08-10,2023-08-16,Delivered,
252,252,VNPost,VNP0002521710,2023-08-08,2023-08-15,Delivered,
253,253,Viettel Post,VTP0002531510,2023-08-10,2023-08-15,Delivered,
254,254,Viettel Post,VTP0002542768,2023-08-20,2023-08-27,Delivered,
255,255,Giao Hàng Nhanh,GHN0002552323,2023-08-12,2023-08-18,Delivered,
256,256,Giao Hàng Tiết Kiệm,GHTK0002565505,2023-08-22,2023-08-29,Delivered,
257,257,J&T Express,JT0002577240,2023-08-11,2023-08-17,Delivered,
258,258,VNPost,VNP0002588048,2023-08-29,2023-09-05,Delivered,
259,259,VNPost,VNP0002594522,2023-08-28,2023-09-02,Delivered,
260,260,Viettel Post,VTP0002606553,2023-08-04,2023-08-09,Delivered,
261,261,Giao Hàng Nhanh,GHN0002616120,2023-08-14,2023-08-18,Delivered,
262,262,J&T Express,JT0002623500,2023-08-16,2023-08-21,Delivered,
263,263,Giao Hàng Nhanh,GHN0002632527,2023-08-30,2023-09-01,Delivered,
264,264,J&T Express,JT0002643131,2023-08-11,2023-08-13,Delivered,
265,265,VNPost,VNP0002656400,2023-08-28,2023-08-30,Delivered,
266,266,Viettel Post,VTP0002661842,2023-08-15,2023-08-21,Delivered,
267,267,Giao Hàng Nhanh,GHN0002679313,2023-08-08,2023-08-11,Delivered,
268,268,Giao Hàng Tiết Kiệm,GHTK0002682773,2023-08-05,2023-08-11,Delivered,
269,269,J&T Express,JT0002694705,2023-08-26,2023-09-01,Failed,Hàng bị hư hỏng trong quá trình vận chuyển
270,270,VNPost,VNP0002701430,2023-08-24,2023-08-31,Delivered,
271,271,J&T Express,JT0002711474,2023-08-22,2023-08-26,Delivered,
272,272,J&T Express,JT0002726567,2023-08-20,2023-08-22,Delivered,
273,273,Giao Hàng Tiết Kiệm,GHTK0002737566,2023-08-24,2023-08-27,Delivered,
274,274,Giao Hàng Nhanh,GHN0002742503,2023-08-30,2023-09-05,Delivered,
275,275,Viettel Post,VTP0002758432,2023-08-05,2023-08-08,Delivered,
