MachineType,Max_Temp_C,Max_Vib_mm_s,Min_Voltage_V,Max_Voltage_V,Min_Current_A,Max_Current_A
Type_01,109.1,4.94,208.4,231.3,6.3,49.6
Type_02,80.2,5.39,204.8,234.2,9.4,39.0
Type_03,80.1,8.42,210.0,235.0,6.2,49.0
Type_04,81.6,7.97,209.6,238.4,5.3,36.1
Type_05,119.9,9.77,204.7,238.3,9.4,38.7
Type_06,84.5,9.63,201.6,230.4,6.8,38.6
Type_07,108.4,8.19,203.3,231.5,9.3,33.1
Type_08,101.5,9.83,202.7,234.1,9.9,49.8
Type_09,114.9,4.56,204.2,237.9,9.1,30.8
Type_10,114.0,4.27,200.5,235.6,6.2,47.0
Type_11,94.4,6.41,205.7,232.6,8.5,47.6
Type_12,97.3,4.55,206.0,232.5,6.1,32.4
Type_13,103.8,5.25,200.2,237.0,7.4,40.5
Type_14,115.0,7.33,205.9,230.1,7.2,45.5
Type_15,98.4,9.29,210.0,232.7,5.3,35.6
Type_16,106.0,6.87,207.8,233.3,8.0,47.2
Type_17,85.9,6.02,204.0,235.0,9.3,42.8
Type_18,109.1,4.33,207.1,238.6,9.8,43.8
Type_19,98.4,6.66,205.3,239.9,8.5,46.9
Type_20,107.4,8.2,207.6,230.4,5.2,32.7
Type_21,83.8,8.67,208.9,230.9,9.7,39.9
Type_22,106.8,5.83,203.7,237.0,6.5,36.1
Type_23,94.8,9.94,201.5,236.1,7.0,45.6
Type_24,80.6,9.83,203.7,231.0,6.3,49.6
Type_25,112.4,8.36,209.9,233.5,8.7,37.7
