TransactionID,ProductID,Quantity,TransactionType,ReferenceID,TransactionDate
1,25,54,IN,1,2024-04-08
2,11,37,IN,1,2024-04-08
3,12,31,IN,1,2024-04-08
4,9,16,IN,2,2023-08-13
5,24,32,IN,2,2023-08-13
6,25,15,IN,3,2023-02-18
7,9,45,IN,3,2023-02-18
8,10,28,IN,3,2023-02-18
9,16,59,IN,4,2024-08-18
10,23,28,IN,4,2024-08-18
11,20,15,IN,4,2024-08-18
12,22,24,IN,4,2024-08-18
13,3,23,IN,5,2023-10-16
14,2,52,IN,5,2023-10-16
15,6,27,IN,5,2023-10-16
16,7,54,IN,5,2023-10-16
17,2,34,IN,6,2024-07-04
18,6,27,IN,6,2024-07-04
19,16,35,IN,7,2023-12-03
20,20,27,IN,7,2023-12-03
21,2,51,IN,8,2024-08-07
22,6,39,IN,8,2024-08-07
23,7,19,IN,8,2024-08-07
24,25,47,IN,9,2023-09-14
25,18,35,IN,9,2023-09-14
26,24,33,IN,9,2023-09-14
27,10,24,IN,9,2023-09-14
28,5,60,IN,10,2023-04-08
29,17,53,IN,10,2023-04-08
30,14,53,IN,11,2024-02-03
31,15,56,IN,11,2024-02-03
32,13,17,IN,11,2024-02-03
33,11,53,IN,11,2024-02-03
34,20,20,IN,12,2024-10-22
35,22,39,IN,12,2024-10-22
36,1,19,IN,13,2024-05-31
37,3,33,IN,13,2024-05-31
38,6,58,IN,13,2024-05-31
39,7,20,IN,13,2024-05-31
40,16,29,IN,14,2024-09-09
41,23,25,IN,14,2024-09-09
42,19,13,IN,14,2024-09-09
43,4,52,IN,15,2023-04-02
44,5,40,IN,15,2023-04-02
45,17,45,IN,15,2023-04-02
46,5,29,IN,16,2024-06-28
47,17,35,IN,16,2024-06-28
48,8,52,IN,16,2024-06-28
49,10,14,IN,17,2024-06-17
50,25,31,IN,17,2024-06-17
51,1,24,IN,18,2024-08-29
52,7,14,IN,18,2024-08-29
53,3,23,IN,19,2023-03-18
54,6,44,IN,19,2023-03-18
55,5,52,IN,20,2023-09-10
56,4,37,IN,20,2023-09-10
57,9,32,IN,20,2023-09-10
58,21,51,IN,21,2024-04-27
59,25,16,IN,21,2024-04-27
60,2,44,IN,22,2023-12-18
61,7,38,IN,22,2023-12-18
62,5,45,IN,23,2023-07-11
63,4,16,IN,23,2023-07-11
64,17,13,IN,23,2023-07-11
65,22,40,IN,24,2023-04-10
66,23,23,IN,24,2023-04-10
67,14,60,IN,25,2023-06-22
68,13,60,IN,25,2023-06-22
69,25,22,IN,26,2024-03-13
70,15,28,IN,26,2024-03-13
71,14,23,IN,26,2024-03-13
72,12,13,IN,26,2024-03-13
73,23,42,IN,27,2023-11-22
74,22,43,IN,27,2023-11-22
75,4,53,IN,28,2024-06-08
76,17,25,IN,28,2024-06-08
77,15,36,IN,29,2024-08-10
78,11,52,IN,29,2024-08-10
