OrderID,CustomerID,UserID,OrderDate,PaymentMethod,TotalAmount,Status
1,7,4,2023-01-13,Cash,18990000,Completed
2,17,3,2023-01-13,ZaloPay,27980000,Completed
3,7,7,2023-01-19,MoMo,45960000,Completed
4,17,3,2023-01-23,Credit Card,20990000,Completed
5,7,7,2023-01-14,ZaloPay,12970000,Completed
6,12,4,2023-01-02,Cash,51140000,Completed
7,6,3,2023-01-22,Cash,49980000,Completed
8,30,8,2023-01-03,Bank Transfer,16990000,Completed
9,5,8,2023-01-11,Cash,30480000,Completed
10,27,4,2023-01-13,Credit Card,62960000,Completed
11,24,4,2023-01-25,Bank Transfer,10990000,Completed
12,6,4,2023-01-10,Credit Card,57470000,Completed
13,27,7,2023-01-28,Cash,7490000,Completed
14,2,7,2023-01-27,Cash,7490000,Completed
15,12,3,2023-01-27,Cash,47980000,Completed
16,25,8,2023-01-13,Cash,44750000,Completed
17,25,4,2023-01-07,Credit Card,37980000,Completed
18,30,7,2023-01-14,Cash,49980000,Completed
19,16,4,2023-01-26,ZaloPay,7490000,Completed
20,27,4,2023-01-22,Credit Card,58970000,Completed
21,29,4,2023-01-11,Credit Card,46460000,Completed
22,22,4,2023-01-22,MoMo,27980000,Completed
23,23,4,2023-01-28,Credit Card,60470000,Completed
24,22,4,2023-01-10,Credit Card,69360000,Completed
25,20,7,2023-01-21,Cash,21980000,Completed
26,19,3,2023-01-03,ZaloPay,71970000,Completed
27,23,7,2023-01-21,Cash,7490000,Completed
28,9,8,2023-01-06,Credit Card,51450000,Completed
29,7,7,2023-01-09,Credit Card,80950000,Completed
30,29,8,2023-01-21,Bank Transfer,60960000,Completed
31,1,7,2023-01-24,Bank Transfer,34980000,Completed
32,2,3,2023-02-13,Credit Card,490000,Completed
33,15,3,2023-02-27,Bank Transfer,23990000,Completed
34,9,7,2023-02-06,Bank Transfer,47980000,Completed
35,23,7,2023-02-06,Bank Transfer,44370000,Completed
36,3,3,2023-02-18,MoMo,127960000,Completed
37,20,4,2023-02-20,Credit Card,65980000,Completed
38,7,7,2023-02-14,Cash,4990000,Completed
39,24,3,2023-02-17,Cash,208950000,Completed
40,29,4,2023-02-03,MoMo,29470000,Completed
41,10,4,2023-02-01,Cash,14980000,Completed
42,10,3,2023-02-10,Credit Card,86970000,Completed
43,26,3,2023-02-11,Credit Card,28990000,Completed
44,22,3,2023-02-23,MoMo,29360000,Completed
45,14,3,2023-02-17,Cash,109980000,Completed
46,27,4,2023-02-01,Cash,87440000,Completed
