PurchaseDetailID,PurchaseOrderID,ProductID,Quantity,ImportPrice,SubTotal
1,1,25,54,250000,13500000
2,1,11,37,25000000,925000000
3,1,12,31,18000000,558000000
4,2,9,16,16000000,256000000
5,2,24,32,180000,5760000
6,3,25,15,250000,3750000
7,3,9,45,16000000,720000000
8,3,10,28,5500000,154000000
9,4,16,59,3800000,224200000
10,4,23,28,9000000,252000000
11,4,20,15,12000000,180000000
12,4,22,24,18000000,432000000
13,5,3,23,15000000,345000000
14,5,2,52,18000000,936000000
15,5,6,27,32000000,864000000
16,5,7,54,18500000,999000000
17,6,2,34,18000000,612000000
18,6,6,27,32000000,864000000
19,7,16,35,3800000,133000000
20,7,20,27,12000000,324000000
21,8,2,51,18000000,918000000
22,8,6,39,32000000,1248000000
23,8,7,19,18500000,351500000
24,9,25,47,250000,11750000
25,9,18,35,18000000,630000000
26,9,24,33,180000,5940000
27,9,10,24,5500000,132000000
28,10,5,60,6500000,390000000
29,10,17,53,2200000,116600000
30,11,14,53,10000000,530000000
31,11,15,56,3500000,196000000
32,11,13,17,5500000,93500000
33,11,11,53,25000000,1325000000
34,12,20,20,12000000,240000000
35,12,22,39,18000000,702000000
36,13,1,19,22000000,418000000
37,13,3,33,15000000,495000000
38,13,6,58,32000000,1856000000
39,13,7,20,18500000,370000000
40,14,16,29,3800000,110200000
41,14,23,25,9000000,225000000
42,14,19,13,55000000,715000000
43,15,4,52,8500000,442000000
44,15,5,40,6500000,260000000
45,15,17,45,2200000,99000000
46,16,5,29,6500000,188500000
47,16,17,35,2200000,77000000
48,16,8,52,22000000,1144000000
49,17,10,14,5500000,77000000
50,17,25,31,250000,7750000
51,18,1,24,22000000,528000000
52,18,7,14,18500000,259000000
53,19,3,23,15000000,345000000
54,19,6,44,32000000,1408000000
55,20,5,52,6500000,338000000
56,20,4,37,8500000,314500000
57,20,9,32,16000000,512000000
58,21,21,51,5500000,280500000
59,21,25,16,250000,4000000
60,22,2,44,18000000,792000000
61,22,7,38,18500000,703000000
62,23,5,45,6500000,292500000
63,23,4,16,8500000,136000000
64,23,17,13,2200000,28600000
65,24,22,40,18000000,720000000
66,24,23,23,9000000,207000000
67,25,14,60,10000000,600000000
68,25,13,60,5500000,330000000
69,26,25,22,250000,5500000
70,26,15,28,3500000,98000000
71,26,14,23,10000000,230000000
72,26,12,13,18000000,234000000
73,27,23,42,9000000,378000000
74,27,22,43,18000000,774000000
75,28,4,53,8500000,450500000
76,28,17,25,2200000,55000000
77,29,15,36,3500000,126000000
78,29,11,52,25000000,1300000000
79,29,25,47,250000,11750000
80,29,21,46,5500000,253000000
81,30,20,18,12000000,216000000
82,30,19,52,55000000,2860000000
83,30,22,51,18000000,918000000
84,30,23,29,9000000,261000000
85,31,15,14,3500000,49000000
86,31,25,44,250000,11000000
87,31,11,23,25000000,575000000
88,32,19,28,55000000,1540000000
89,32,20,20,12000000,240000000
90,33,11,52,25000000,1300000000
91,33,21,16,5500000,88000000
92,33,15,18,3500000,63000000
93,33,13,26,5500000,143000000
94,34,3,31,15000000,465000000
95,34,2,23,18000000,414000000
96,34,7,53,18500000,980500000
97,35,24,12,180000,2160000
98,35,18,10,18000000,180000000
