ProductComponentID,ProductID,ComponentID,QuantityPerUnit,Status
1,1,3,1,Active
2,1,31,1,Active
3,1,19,1,Active
4,1,20,1,Active
5,1,21,1,Active
6,1,22,1,Active
7,1,28,1,Active
8,1,30,1,Active
9,1,14,1,Active
10,1,23,1,Active
11,1,24,1,Active
12,1,25,1,Active
13,1,37,1,Active
14,1,39,1,Active
15,1,53,1,Active
16,2,2,1,Active
17,2,31,1,Active
18,2,20,1,Active
19,2,21,1,Active
20,2,22,1,Active
21,2,27,1,Active
22,2,29,1,Active
23,2,14,1,Active
24,2,23,1,Active
25,2,24,1,Active
26,2,25,1,Active
27,2,36,1,Active
28,2,53,1,Active
29,3,1,1,Active
30,3,32,1,Active
31,3,20,1,Active
32,3,21,1,Active
33,3,22,1,Active
34,3,27,1,Active
35,3,29,1,Active
36,3,15,1,Active
37,3,23,1,Active
38,3,24,1,Active
39,3,25,1,Active
40,3,36,1,Active
41,3,52,1,Active
42,4,2,1,Active
43,4,58,1,Active
44,4,20,1,Active
45,4,21,1,Active
46,4,22,1,Active
47,4,27,1,Active
48,4,56,1,Active
49,4,15,1,Active
50,4,59,1,Active
51,4,24,1,Active
52,4,25,1,Active
53,4,36,1,Active
54,4,52,1,Active
55,5,54,1,Active
56,5,58,1,Active
57,5,20,1,Active
58,5,55,1,Active
59,5,56,1,Active
60,5,15,1,Active
61,5,59,1,Active
62,5,24,1,Active
63,5,25,1,Active
64,5,57,1,Active
65,5,52,1,Active
66,6,4,1,Active
67,6,5,1,Active
68,6,31,1,Active
69,6,20,1,Active
70,6,21,1,Active
71,6,22,1,Active
72,6,28,1,Active
73,6,30,1,Active
74,6,16,1,Active
75,6,23,1,Active
76,6,24,1,Active
77,6,25,1,Active
78,6,38,1,Active
79,6,39,1,Active
80,6,53,1,Active
81,7,1,1,Active
82,7,5,1,Active
83,7,32,1,Active
84,7,20,1,Active
85,7,22,1,Active
86,7,27,1,Active
87,7,29,1,Active
88,7,15,1,Active
89,7,23,1,Active
90,7,24,1,Active
91,7,25,1,Active
92,7,38,1,Active
93,7,53,1,Active
94,8,7,1,Active
95,8,31,1,Active
96,8,20,1,Active
97,8,22,1,Active
98,8,28,1,Active
99,8,30,1,Active
100,8,14,1,Active
101,8,23,1,Active
102,8,24,1,Active
103,8,39,1,Active
104,8,53,1,Active
105,9,6,1,Active
106,9,31,1,Active
107,9,20,1,Active
108,9,22,1,Active
109,9,27,1,Active
110,9,29,1,Active
111,9,14,1,Active
112,9,23,1,Active
113,9,24,1,Active
114,9,39,1,Active
115,9,53,1,Active
116,10,8,1,Active
117,10,58,1,Active
118,10,20,1,Active
119,10,55,1,Active
120,10,56,1,Active
121,10,15,1,Active
122,10,59,1,Active
123,10,24,1,Active
124,10,52,1,Active
125,11,9,1,Active
126,11,35,1,Active
127,11,27,1,Active
128,11,30,1,Active
129,11,18,1,Active
130,11,23,1,Active
131,11,24,1,Active
132,11,40,1,Active
133,11,53,1,Active
134,12,10,1,Active
135,12,35,1,Active
136,12,27,1,Active
137,12,29,1,Active
138,12,18,1,Active
139,12,23,1,Active
140,12,24,1,Active
141,12,40,1,Active
142,12,53,1,Active
143,13,33,1,Active
144,13,26,1,Active
145,13,17,1,Active
146,13,23,1,Active
147,13,24,1,Active
148,13,36,1,Active
149,13,52,1,Active
150,14,33,1,Active
151,14,26,1,Active
152,14,17,1,Active
153,14,23,1,Active
154,14,24,1,Active
155,14,37,1,Active
156,14,52,1,Active
157,15,33,1,Active
158,15,17,1,Active
159,15,23,1,Active
160,15,24,1,Active
161,15,36,1,Active
162,15,52,1,Active
163,16,45,1,Active
164,16,34,1,Active
165,16,17,1,Active
166,16,24,1,Active
167,16,52,1,Active
168,17,45,1,Active
169,17,34,1,Active
170,17,17,1,Active
171,17,24,1,Active
172,17,52,1,Active
173,18,46,1,Active
174,18,47,1,Active
175,18,34,1,Active
176,18,24,1,Active
177,18,53,1,Active
178,19,11,1,Active
179,19,47,1,Active
180,19,24,1,Active
181,19,53,1,Active
182,20,12,1,Active
183,20,47,1,Active
184,20,24,1,Active
185,20,53,1,Active
186,21,13,1,Active
187,21,24,1,Active
188,21,52,1,Active
189,22,48,1,Active
190,22,49,1,Active
191,22,24,1,Active
192,22,53,1,Active
193,23,50,1,Active
194,23,51,1,Active
195,23,24,1,Active
196,23,53,1,Active
197,24,41,1,Active
198,24,52,1,Active
199,25,43,1,Active
200,25,44,1,Active
201,25,42,1,Active
202,25,52,1,Active
