ComponentShipmentID,PurchaseOrderID,Carrier,TrackingNumber,ShipDate,DeliveryDate,Status,Notes
1,1,Yusen Logistics,YUS00019320,2023-03-04,2023-03-11,Delivered,
2,2,Korea Post EMS Cargo,KOR00029387,2023-03-27,2023-04-01,Delivered,
3,3,Yusen Logistics,YUS00038316,2023-06-15,2023-06-19,Delivered,
4,4,Yusen Logistics,YUS00049825,2024-02-20,2024-02-24,Delivered,
5,5,Korea Post EMS Cargo,KOR00057490,2023-11-28,2023-12-06,Delivered,
6,6,Yusen Logistics,YUS00061245,2023-12-26,2024-01-03,Delivered,
7,7,Korea Post EMS Cargo,KOR00071584,2024-01-04,2024-01-08,Delivered,
8,8,DHL Global Forwarding,DHL00081492,2024-06-11,2024-06-03,Delivered,
9,9,Yusen Logistics,YUS00094200,2024-08-21,2024-08-28,Delivered,
10,10,Korea Post EMS Cargo,KOR00105819,2023-10-24,2023-11-02,Delivered,
11,11,Yusen Logistics,YUS00112392,2024-03-26,2024-04-04,Delivered,
12,12,Yusen Logistics,YUS00122363,2024-07-29,2024-08-05,Delivered,
13,13,Korea Post EMS Cargo,KOR00134762,2023-05-11,2023-05-17,Delivered,
14,14,Korea Post EMS Cargo,KOR00142150,2023-05-18,2023-05-22,Delivered,
15,15,Korea Post EMS Cargo,KOR00152766,2024-05-02,2024-05-09,Delivered,
16,16,Yusen Logistics,YUS00161276,2024-05-27,2024-05-31,Delivered,
17,17,Kuehne+Nagel Air Freight,KUE00174436,2023-10-03,2023-10-14,Delivered,
18,18,FedEx Trade Networks,FED00187511,2023-10-27,2023-11-10,Delivered,
19,19,DHL Global Forwarding,DHL00195420,2024-05-08,2024-05-19,Delivered,
20,20,DHL Global Forwarding,DHL00206449,2023-04-07,2023-04-19,Delivered,
21,21,FedEx Trade Networks,FED00213205,2023-06-25,2023-07-04,Delivered,
22,22,Bee Logistics,BEE00221981,2023-04-26,2023-04-27,Delivered,
23,23,Vietnam Airlines Cargo,VIE00234086,2023-06-05,2023-06-06,Delivered,
24,24,Vietnam Airlines Cargo,VIE00243145,2023-07-30,2023-08-02,Delivered,
25,25,Vietnam Airlines Cargo,VIE00257469,2024-04-02,2024-04-03,Delivered,
26,26,Vietnam Airlines Cargo,VIE00265420,2024-07-04,2024-07-05,Delivered,
27,27,Korea Post EMS Cargo,KOR00274452,2023-02-25,2023-03-01,Delivered,
28,28,DHL Global Forwarding,DHL00282643,2023-07-28,2023-08-05,Delivered,
29,29,DHL Global Forwarding,DHL00298234,2023-10-22,2023-10-27,Delivered,
30,30,Yusen Logistics,YUS00306389,2023-08-06,2023-08-14,Delivered,
31,31,Yusen Logistics,YUS00312217,2023-09-24,2023-09-28,Delivered,
32,32,DHL Global Forwarding,DHL00324981,2023-10-04,2023-10-12,Delivered,
33,33,DHL Global Forwarding,DHL00338425,2024-07-01,2024-07-07,Delivered,
34,34,Bee Logistics,BEE00343223,2023-06-28,2023-07-01,Delivered,
35,35,Vietnam Airlines Cargo,VIE00353525,2023-06-27,2023-06-30,Delivered,
36,36,Vietnam Airlines Cargo,VIE00365087,2023-08-29,2023-09-01,Delivered,
37,37,Gemadept Logistics,GEM00374220,2024-05-24,2024-05-25,Delivered,
