OrderDetailID,OrderID,ProductID,Quantity,SalePrice,ImportPrice,SubTotal
1,1,3,1,18990000,15000000,18990000
2,2,14,2,13990000,10000000,27980000
3,3,7,1,23990000,18500000,23990000
4,3,5,2,8490000,6500000,16980000
5,3,15,1,4990000,3500000,4990000
6,4,9,1,20990000,16000000,20990000
7,5,15,2,4990000,3500000,9980000
8,5,17,1,2990000,2200000,2990000
9,6,6,1,39990000,32000000,39990000
10,6,24,3,390000,180000,1170000
11,6,15,2,4990000,3500000,9980000
12,7,22,2,24990000,18000000,49980000
13,8,20,1,16990000,12000000,16990000
14,9,2,1,22990000,18000000,22990000
15,9,21,1,7490000,5500000,7490000
16,10,2,2,22990000,18000000,45980000
17,10,5,2,8490000,6500000,16980000
18,11,4,1,10990000,8500000,10990000
19,12,18,1,23990000,18000000,23990000
20,12,11,1,32990000,25000000,32990000
21,12,25,1,490000,250000,490000
22,13,10,1,7490000,5500000,7490000
23,14,13,1,7490000,5500000,7490000
24,15,12,2,23990000,18000000,47980000
25,16,8,1,28990000,22000000,28990000
26,16,21,2,7490000,5500000,14980000
27,16,24,2,390000,180000,780000
28,17,3,2,18990000,15000000,37980000
29,18,22,2,24990000,18000000,49980000
30,19,10,1,7490000,5500000,7490000
31,20,20,2,16990000,12000000,33980000
32,20,22,1,24990000,18000000,24990000
33,21,23,3,12990000,9000000,38970000
34,21,10,1,7490000,5500000,7490000
35,22,14,2,13990000,10000000,27980000
36,23,22,1,24990000,18000000,24990000
37,23,13,1,7490000,5500000,7490000
38,23,1,1,27990000,22000000,27990000
39,24,7,2,23990000,18500000,47980000
40,24,9,1,20990000,16000000,20990000
41,24,24,1,390000,180000,390000
42,25,4,2,10990000,8500000,21980000
43,26,12,3,23990000,18000000,71970000
44,27,13,1,7490000,5500000,7490000
45,28,15,1,4990000,3500000,4990000
46,28,23,3,12990000,9000000,38970000
47,28,13,1,7490000,5500000,7490000
48,29,23,2,12990000,9000000,25980000
49,29,13,2,7490000,5500000,14980000
50,29,6,1,39990000,32000000,39990000
51,30,18,1,23990000,18000000,23990000
52,30,8,1,28990000,22000000,28990000
53,30,15,1,4990000,3500000,4990000
54,30,17,1,2990000,2200000,2990000
55,31,14,1,13990000,10000000,13990000
56,31,9,1,20990000,16000000,20990000
57,32,25,1,490000,250000,490000
58,33,7,1,23990000,18500000,23990000
59,34,7,2,23990000,18500000,47980000
60,35,3,1,18990000,15000000,18990000
61,35,24,1,390000,180000,390000
62,35,22,1,24990000,18000000,24990000
63,36,6,2,39990000,32000000,79980000
64,36,12,2,23990000,18000000,47980000
65,37,11,2,32990000,25000000,65980000
66,38,16,1,4990000,3800000,4990000
67,39,4,1,10990000,8500000,10990000
68,39,8,2,28990000,22000000,57980000
69,39,19,2,69990000,55000000,139980000
70,40,25,1,490000,250000,490000
71,40,15,1,4990000,3500000,4990000
72,40,12,1,23990000,18000000,23990000
73,41,10,2,7490000,5500000,14980000
74,42,2,1,22990000,18000000,22990000
75,42,12,1,23990000,18000000,23990000
76,42,6,1,39990000,32000000,39990000
77,43,8,1,28990000,22000000,28990000
78,44,24,1,390000,180000,390000
79,44,13,2,7490000,5500000,14980000
80,44,14,1,13990000,10000000,13990000
81,45,6,1,39990000,32000000,39990000
82,45,19,1,69990000,55000000,69990000
83,46,21,1,7490000,5500000,7490000
84,46,10,2,7490000,5500000,14980000
85,46,2,1,22990000,18000000,22990000
86,46,9,2,20990000,16000000,41980000
87,47,3,1,18990000,15000000,18990000
88,47,6,1,39990000,32000000,39990000
89,47,19,2,69990000,55000000,139980000
90,47,8,1,28990000,22000000,28990000
91,48,23,2,12990000,9000000,25980000
92,49,16,2,4990000,3800000,9980000
93,50,17,1,2990000,2200000,2990000
94,50,18,1,23990000,18000000,23990000
95,51,8,1,28990000,22000000,28990000
96,51,9,1,20990000,16000000,20990000
97,52,2,1,22990000,18000000,22990000
98,53,22,1,24990000,18000000,24990000
99,54,6,1,39990000,32000000,39990000
100,55,1,1,27990000,22000000,27990000
101,56,12,2,23990000,18000000,47980000
102,57,6,1,39990000,32000000,39990000
103,58,1,1,27990000,22000000,27990000
104,59,12,2,23990000,18000000,47980000
105,59,16,2,4990000,3800000,9980000
106,59,14,2,13990000,10000000,27980000
107,59,18,1,23990000,18000000,23990000
108,60,2,1,22990000,18000000,22990000
109,61,20,1,16990000,12000000,16990000
110,62,9,2,20990000,16000000,41980000
111,62,3,1,18990000,15000000,18990000
112,63,23,2,12990000,9000000,25980000
113,63,15,2,4990000,3500000,9980000
114,63,14,1,13990000,10000000,13990000
115,64,7,1,23990000,18500000,23990000
116,65,23,1,12990000,9000000,12990000
117,65,1,1,27990000,22000000,27990000
118,66,22,1,24990000,18000000,24990000
119,66,19,2,69990000,55000000,139980000
120,66,1,1,27990000,22000000,27990000
121,67,10,1,7490000,5500000,7490000
122,68,4,2,10990000,8500000,21980000
123,68,10,2,7490000,5500000,14980000
124,69,10,1,7490000,5500000,7490000
125,69,9,1,20990000,16000000,20990000
126,69,24,1,390000,180000,390000
127,70,10,1,7490000,5500000,7490000
128,71,9,1,20990000,16000000,20990000
129,72,17,1,2990000,2200000,2990000
130,72,8,1,28990000,22000000,28990000
131,73,11,2,32990000,25000000,65980000
132,73,24,1,390000,180000,390000
133,74,4,1,10990000,8500000,10990000
134,75,4,1,10990000,8500000,10990000
135,76,21,1,7490000,5500000,7490000
136,76,7,1,23990000,18500000,23990000
137,77,2,1,22990000,18000000,22990000
138,78,23,1,12990000,9000000,12990000
139,79,21,1,7490000,5500000,7490000
140,79,17,1,2990000,2200000,2990000
141,79,20,1,16990000,12000000,16990000
142,80,18,1,23990000,18000000,23990000
143,80,10,1,7490000,5500000,7490000
144,80,1,1,27990000,22000000,27990000
145,81,18,1,23990000,18000000,23990000
146,81,10,1,7490000,5500000,7490000
147,81,12,2,23990000,18000000,47980000
148,81,6,1,39990000,32000000,39990000
149,82,7,1,23990000,18500000,23990000
150,83,18,1,23990000,18000000,23990000
151,84,25,1,490000,250000,490000
152,84,12,1,23990000,18000000,23990000
153,84,5,2,8490000,6500000,16980000
154,85,20,3,16990000,12000000,50970000
155,85,22,3,24990000,18000000,74970000
156,86,5,1,8490000,6500000,8490000
157,86,10,2,7490000,5500000,14980000
158,86,23,2,12990000,9000000,25980000
159,87,18,1,23990000,18000000,23990000
160,88,1,1,27990000,22000000,27990000
161,88,16,2,4990000,3800000,9980000
162,88,8,1,28990000,22000000,28990000
163,88,21,1,7490000,5500000,7490000
164,89,12,1,23990000,18000000,23990000
165,90,2,1,22990000,18000000,22990000
166,90,3,1,18990000,15000000,18990000
167,91,25,1,490000,250000,490000
168,91,15,2,4990000,3500000,9980000
169,92,21,1,7490000,5500000,7490000
170,93,25,2,490000,250000,980000
171,93,24,1,390000,180000,390000
172,94,25,1,490000,250000,490000
173,94,16,1,4990000,3800000,4990000
174,94,5,2,8490000,6500000,16980000
175,95,12,2,23990000,18000000,47980000
176,95,18,1,23990000,18000000,23990000
177,96,3,1,18990000,15000000,18990000
178,97,1,1,27990000,22000000,27990000
179,98,23,1,12990000,9000000,12990000
180,98,1,1,27990000,22000000,27990000
181,98,6,1,39990000,32000000,39990000
182,99,6,1,39990000,32000000,39990000
183,100,21,1,7490000,5500000,7490000
184,100,11,1,32990000,25000000,32990000
185,100,24,1,390000,180000,390000
186,101,15,1,4990000,3500000,4990000
187,101,7,2,23990000,18500000,47980000
188,102,7,2,23990000,18500000,47980000
189,103,8,2,28990000,22000000,57980000
190,104,3,1,18990000,15000000,18990000
191,104,21,1,7490000,5500000,7490000
192,105,21,2,7490000,5500000,14980000
193,105,18,1,23990000,18000000,23990000
194,105,14,1,13990000,10000000,13990000
195,105,20,3,16990000,12000000,50970000
196,106,5,3,8490000,6500000,25470000
197,107,20,1,16990000,12000000,16990000
198,107,10,1,7490000,5500000,7490000
199,108,22,1,24990000,18000000,24990000
200,108,15,1,4990000,3500000,4990000
201,108,7,1,23990000,18500000,23990000
202,109,4,2,10990000,8500000,21980000
203,110,7,3,23990000,18500000,71970000
204,110,5,2,8490000,6500000,16980000
205,111,2,2,22990000,18000000,45980000
206,112,7,1,23990000,18500000,23990000
207,112,17,1,2990000,2200000,2990000
208,112,25,1,490000,250000,490000
209,112,1,1,27990000,22000000,27990000
210,113,6,1,39990000,32000000,39990000
211,114,10,2,7490000,5500000,14980000
212,115,11,1,32990000,25000000,32990000
213,115,21,1,7490000,5500000,7490000
214,116,20,1,16990000,12000000,16990000
215,117,12,2,23990000,18000000,47980000
216,117,23,2,12990000,9000000,25980000
217,118,9,3,20990000,16000000,62970000
218,119,18,1,23990000,18000000,23990000
219,119,3,2,18990000,15000000,37980000
220,119,22,1,24990000,18000000,24990000
221,120,8,1,28990000,22000000,28990000
222,120,2,1,22990000,18000000,22990000
223,120,5,1,8490000,6500000,8490000
224,120,18,1,23990000,18000000,23990000
225,121,24,2,390000,180000,780000
226,122,10,3,7490000,5500000,22470000
227,123,19,1,69990000,55000000,69990000
228,123,9,2,20990000,16000000,41980000
229,124,20,1,16990000,12000000,16990000
230,125,11,1,32990000,25000000,32990000
231,125,16,1,4990000,3800000,4990000
232,126,17,1,2990000,2200000,2990000
233,127,25,1,490000,250000,490000
234,128,24,2,390000,180000,780000
235,128,7,1,23990000,18500000,23990000
236,128,4,1,10990000,8500000,10990000
237,128,18,1,23990000,18000000,23990000
238,129,1,1,27990000,22000000,27990000
239,130,9,2,20990000,16000000,41980000
240,130,12,1,23990000,18000000,23990000
241,131,17,1,2990000,2200000,2990000
242,132,10,1,7490000,5500000,7490000
243,132,20,1,16990000,12000000,16990000
244,133,15,1,4990000,3500000,4990000
245,134,6,1,39990000,32000000,39990000
246,135,14,2,13990000,10000000,27980000
247,136,17,2,2990000,2200000,5980000
248,137,9,2,20990000,16000000,41980000
249,138,15,1,4990000,3500000,4990000
250,138,18,3,23990000,18000000,71970000
251,139,4,1,10990000,8500000,10990000
252,139,5,2,8490000,6500000,16980000
253,140,17,1,2990000,2200000,2990000
254,140,19,1,69990000,55000000,69990000
255,141,20,1,16990000,12000000,16990000
256,141,2,1,22990000,18000000,22990000
257,142,21,1,7490000,5500000,7490000
258,142,25,2,490000,250000,980000
259,142,16,3,4990000,3800000,14970000
260,143,8,1,28990000,22000000,28990000
261,144,9,1,20990000,16000000,20990000
262,145,25,1,490000,250000,490000
263,145,1,1,27990000,22000000,27990000
264,146,5,1,8490000,6500000,8490000
265,147,19,1,69990000,55000000,69990000
266,147,20,1,16990000,12000000,16990000
267,148,4,1,10990000,8500000,10990000
268,149,24,1,390000,180000,390000
269,149,16,1,4990000,3800000,4990000
270,149,1,2,27990000,22000000,55980000
271,150,22,1,24990000,18000000,24990000
272,151,19,2,69990000,55000000,139980000
273,151,7,1,23990000,18500000,23990000
274,152,15,1,4990000,3500000,4990000
275,152,9,1,20990000,16000000,20990000
276,152,24,1,390000,180000,390000
277,153,19,1,69990000,55000000,69990000
278,154,11,2,32990000,25000000,65980000
279,155,10,1,7490000,5500000,7490000
280,156,20,1,16990000,12000000,16990000
281,156,11,1,32990000,25000000,32990000
282,156,24,1,390000,180000,390000
283,157,13,1,7490000,5500000,7490000
284,158,18,1,23990000,18000000,23990000
285,158,1,2,27990000,22000000,55980000
286,159,21,1,7490000,5500000,7490000
287,160,13,1,7490000,5500000,7490000
288,160,6,1,39990000,32000000,39990000
289,161,19,1,69990000,55000000,69990000
290,161,21,2,7490000,5500000,14980000
291,162,5,1,8490000,6500000,8490000
292,162,1,1,27990000,22000000,27990000
293,162,11,1,32990000,25000000,32990000
294,163,13,2,7490000,5500000,14980000
295,163,22,2,24990000,18000000,49980000
296,164,11,1,32990000,25000000,32990000
297,164,17,2,2990000,2200000,5980000
298,164,10,2,7490000,5500000,14980000
299,165,13,1,7490000,5500000,7490000
300,165,11,1,32990000,25000000,32990000
301,165,2,1,22990000,18000000,22990000
302,166,3,1,18990000,15000000,18990000
303,166,16,1,4990000,3800000,4990000
304,167,4,1,10990000,8500000,10990000
305,168,13,2,7490000,5500000,14980000
306,168,8,1,28990000,22000000,28990000
307,169,16,2,4990000,3800000,9980000
308,170,21,2,7490000,5500000,14980000
309,171,11,1,32990000,25000000,32990000
310,171,1,1,27990000,22000000,27990000
311,171,23,1,12990000,9000000,12990000
312,172,8,1,28990000,22000000,28990000
313,172,25,1,490000,250000,490000
314,172,24,1,390000,180000,390000
315,173,13,1,7490000,5500000,7490000
316,173,2,2,22990000,18000000,45980000
317,174,4,1,10990000,8500000,10990000
318,175,4,2,10990000,8500000,21980000
319,176,12,1,23990000,18000000,23990000
320,176,22,1,24990000,18000000,24990000
321,176,4,2,10990000,8500000,21980000
322,177,25,1,490000,250000,490000
323,177,16,2,4990000,3800000,9980000
324,177,23,1,12990000,9000000,12990000
325,177,6,2,39990000,32000000,79980000
326,178,2,1,22990000,18000000,22990000
327,179,21,2,7490000,5500000,14980000
328,179,24,1,390000,180000,390000
329,179,13,1,7490000,5500000,7490000
330,180,19,1,69990000,55000000,69990000
331,181,5,1,8490000,6500000,8490000
332,181,19,1,69990000,55000000,69990000
333,182,6,1,39990000,32000000,39990000
334,182,7,1,23990000,18500000,23990000
335,183,9,2,20990000,16000000,41980000
336,184,19,1,69990000,55000000,69990000
337,185,24,1,390000,180000,390000
338,186,6,1,39990000,32000000,39990000
339,186,8,3,28990000,22000000,86970000
340,187,14,1,13990000,10000000,13990000
341,187,5,1,8490000,6500000,8490000
342,187,9,1,20990000,16000000,20990000
343,188,20,2,16990000,12000000,33980000
344,188,17,1,2990000,2200000,2990000
345,188,8,1,28990000,22000000,28990000
346,189,15,1,4990000,3500000,4990000
347,189,17,1,2990000,2200000,2990000
348,189,10,1,7490000,5500000,7490000
349,189,12,1,23990000,18000000,23990000
350,190,4,1,10990000,8500000,10990000
351,190,13,3,7490000,5500000,22470000
352,190,6,1,39990000,32000000,39990000
353,191,22,1,24990000,18000000,24990000
354,191,20,1,16990000,12000000,16990000
355,192,9,2,20990000,16000000,41980000
356,193,6,2,39990000,32000000,79980000
357,194,18,1,23990000,18000000,23990000
358,195,25,2,490000,250000,980000
359,196,17,1,2990000,2200000,2990000
360,197,18,1,23990000,18000000,23990000
361,198,18,2,23990000,18000000,47980000
362,199,6,1,39990000,32000000,39990000
363,200,14,1,13990000,10000000,13990000
364,200,7,1,23990000,18500000,23990000
365,200,19,1,69990000,55000000,69990000
366,201,15,1,4990000,3500000,4990000
367,202,19,1,69990000,55000000,69990000
368,202,1,1,27990000,22000000,27990000
369,202,2,1,22990000,18000000,22990000
370,202,14,1,13990000,10000000,13990000
371,203,15,1,4990000,3500000,4990000
372,204,9,1,20990000,16000000,20990000
373,205,3,1,18990000,15000000,18990000
374,206,24,2,390000,180000,780000
375,206,9,1,20990000,16000000,20990000
376,207,5,1,8490000,6500000,8490000
377,207,12,1,23990000,18000000,23990000
378,207,21,1,7490000,5500000,7490000
379,207,20,1,16990000,12000000,16990000
380,208,6,2,39990000,32000000,79980000
381,209,12,1,23990000,18000000,23990000
382,209,11,1,32990000,25000000,32990000
383,209,1,1,27990000,22000000,27990000
384,209,6,1,39990000,32000000,39990000
385,210,21,1,7490000,5500000,7490000
386,210,20,2,16990000,12000000,33980000
387,211,3,1,18990000,15000000,18990000
388,211,4,1,10990000,8500000,10990000
389,212,9,1,20990000,16000000,20990000
390,213,10,2,7490000,5500000,14980000
391,214,7,1,23990000,18500000,23990000
392,215,8,1,28990000,22000000,28990000
393,215,12,1,23990000,18000000,23990000
394,216,16,2,4990000,3800000,9980000
395,216,17,1,2990000,2200000,2990000
396,217,4,1,10990000,8500000,10990000
397,217,21,1,7490000,5500000,7490000
398,217,6,1,39990000,32000000,39990000
399,218,7,1,23990000,18500000,23990000
400,219,23,1,12990000,9000000,12990000
401,219,7,1,23990000,18500000,23990000
402,219,16,1,4990000,3800000,4990000
403,220,5,1,8490000,6500000,8490000
404,220,1,1,27990000,22000000,27990000
405,220,23,2,12990000,9000000,25980000
406,221,21,1,7490000,5500000,7490000
407,221,25,2,490000,250000,980000
408,222,3,2,18990000,15000000,37980000
409,222,15,1,4990000,3500000,4990000
410,223,15,2,4990000,3500000,9980000
411,223,3,1,18990000,15000000,18990000
412,224,11,1,32990000,25000000,32990000
413,224,1,1,27990000,22000000,27990000
414,224,24,2,390000,180000,780000
415,225,9,2,20990000,16000000,41980000
416,226,5,2,8490000,6500000,16980000
417,226,11,1,32990000,25000000,32990000
418,227,11,1,32990000,25000000,32990000
419,227,3,1,18990000,15000000,18990000
420,227,5,1,8490000,6500000,8490000
421,228,16,1,4990000,3800000,4990000
422,228,19,1,69990000,55000000,69990000
423,229,4,1,10990000,8500000,10990000
424,230,24,1,390000,180000,390000
425,230,19,1,69990000,55000000,69990000
426,230,21,2,7490000,5500000,14980000
427,231,12,2,23990000,18000000,47980000
428,231,23,1,12990000,9000000,12990000
429,231,2,1,22990000,18000000,22990000
430,232,20,2,16990000,12000000,33980000
431,232,13,1,7490000,5500000,7490000
432,232,5,1,8490000,6500000,8490000
433,233,12,1,23990000,18000000,23990000
434,233,16,1,4990000,3800000,4990000
435,234,13,1,7490000,5500000,7490000
436,234,4,1,10990000,8500000,10990000
437,234,10,1,7490000,5500000,7490000
438,235,20,1,16990000,12000000,16990000
439,236,5,2,8490000,6500000,16980000
440,236,23,1,12990000,9000000,12990000
441,237,16,1,4990000,3800000,4990000
442,238,2,2,22990000,18000000,45980000
443,238,4,1,10990000,8500000,10990000
444,239,24,1,390000,180000,390000
445,240,2,3,22990000,18000000,68970000
446,240,17,1,2990000,2200000,2990000
447,241,11,1,32990000,25000000,32990000
448,241,13,1,7490000,5500000,7490000
449,242,16,1,4990000,3800000,4990000
450,242,8,1,28990000,22000000,28990000
451,242,22,1,24990000,18000000,24990000
452,243,21,1,7490000,5500000,7490000
453,243,16,1,4990000,3800000,4990000
454,243,20,2,16990000,12000000,33980000
455,243,17,1,2990000,2200000,2990000
456,244,12,1,23990000,18000000,23990000
457,244,14,2,13990000,10000000,27980000
458,245,11,2,32990000,25000000,65980000
459,246,10,1,7490000,5500000,7490000
460,247,7,1,23990000,18500000,23990000
461,248,18,1,23990000,18000000,23990000
462,248,4,1,10990000,8500000,10990000
463,249,16,2,4990000,3800000,9980000
464,250,7,2,23990000,18500000,47980000
465,251,15,1,4990000,3500000,4990000
466,252,16,1,4990000,3800000,4990000
467,253,9,1,20990000,16000000,20990000
468,253,23,1,12990000,9000000,12990000
469,253,12,2,23990000,18000000,47980000
470,253,5,2,8490000,6500000,16980000
471,254,15,2,4990000,3500000,9980000
472,254,4,1,10990000,8500000,10990000
473,255,13,2,7490000,5500000,14980000
474,255,21,1,7490000,5500000,7490000
475,255,24,1,390000,180000,390000
476,255,18,1,23990000,18000000,23990000
477,256,5,2,8490000,6500000,16980000
478,256,11,2,32990000,25000000,65980000
479,257,19,2,69990000,55000000,139980000
480,258,17,1,2990000,2200000,2990000
481,258,6,1,39990000,32000000,39990000
482,259,14,1,13990000,10000000,13990000
483,260,17,1,2990000,2200000,2990000
484,261,6,1,39990000,32000000,39990000
485,262,16,1,4990000,3800000,4990000
486,262,3,2,18990000,15000000,37980000
487,262,5,1,8490000,6500000,8490000
488,263,7,1,23990000,18500000,23990000
489,263,4,1,10990000,8500000,10990000
490,263,5,2,8490000,6500000,16980000
491,264,16,2,4990000,3800000,9980000
492,264,21,1,7490000,5500000,7490000
493,264,24,2,390000,180000,780000
494,265,9,1,20990000,16000000,20990000
495,266,23,1,12990000,9000000,12990000
496,266,6,1,39990000,32000000,39990000
497,267,9,1,20990000,16000000,20990000
498,267,21,1,7490000,5500000,7490000
499,268,7,1,23990000,18500000,23990000
500,268,5,1,8490000,6500000,8490000
501,269,11,3,32990000,25000000,98970000
502,269,15,1,4990000,3500000,4990000
503,270,9,2,20990000,16000000,41980000
504,270,19,1,69990000,55000000,69990000
505,270,14,1,13990000,10000000,13990000
506,271,10,2,7490000,5500000,14980000
507,272,14,1,13990000,10000000,13990000
508,273,1,2,27990000,22000000,55980000
509,274,20,1,16990000,12000000,16990000
510,275,20,1,16990000,12000000,16990000
511,276,11,1,32990000,25000000,32990000
512,276,13,1,7490000,5500000,7490000
513,276,18,1,23990000,18000000,23990000
514,277,22,1,24990000,18000000,24990000
515,277,14,2,13990000,10000000,27980000
516,278,23,1,12990000,9000000,12990000
517,279,11,1,32990000,25000000,32990000
518,279,12,1,23990000,18000000,23990000
519,280,12,1,23990000,18000000,23990000
520,281,10,3,7490000,5500000,22470000
521,281,12,1,23990000,18000000,23990000
522,282,3,1,18990000,15000000,18990000
523,283,2,1,22990000,18000000,22990000
524,284,22,1,24990000,18000000,24990000
525,284,8,2,28990000,22000000,57980000
526,285,12,1,23990000,18000000,23990000
527,286,12,2,23990000,18000000,47980000
528,287,14,1,13990000,10000000,13990000
529,287,6,2,39990000,32000000,79980000
530,288,21,2,7490000,5500000,14980000
531,288,7,2,23990000,18500000,47980000
532,289,2,1,22990000,18000000,22990000
533,289,8,1,28990000,22000000,28990000
534,289,4,1,10990000,8500000,10990000
535,290,18,1,23990000,18000000,23990000
536,290,1,1,27990000,22000000,27990000
537,291,20,1,16990000,12000000,16990000
538,291,22,1,24990000,18000000,24990000
539,292,20,1,16990000,12000000,16990000
540,292,5,1,8490000,6500000,8490000
541,293,7,1,23990000,18500000,23990000
542,293,22,1,24990000,18000000,24990000
543,293,15,1,4990000,3500000,4990000
544,294,6,3,39990000,32000000,119970000
545,294,20,1,16990000,12000000,16990000
546,295,12,1,23990000,18000000,23990000
547,296,15,1,4990000,3500000,4990000
548,297,1,1,27990000,22000000,27990000
549,298,25,1,490000,250000,490000
550,299,23,1,12990000,9000000,12990000
551,300,8,1,28990000,22000000,28990000
552,301,9,1,20990000,16000000,20990000
553,301,22,2,24990000,18000000,49980000
554,302,3,1,18990000,15000000,18990000
555,302,15,1,4990000,3500000,4990000
556,302,5,2,8490000,6500000,16980000
557,303,15,2,4990000,3500000,9980000
558,304,8,1,28990000,22000000,28990000
559,305,7,2,23990000,18500000,47980000
560,305,9,1,20990000,16000000,20990000
561,306,14,2,13990000,10000000,27980000
562,307,4,1,10990000,8500000,10990000
563,307,17,1,2990000,2200000,2990000
564,308,17,2,2990000,2200000,5980000
565,308,22,1,24990000,18000000,24990000
566,309,25,1,490000,250000,490000
567,309,10,2,7490000,5500000,14980000
568,310,20,1,16990000,12000000,16990000
569,310,25,1,490000,250000,490000
570,310,19,2,69990000,55000000,139980000
571,311,20,3,16990000,12000000,50970000
572,312,21,1,7490000,5500000,7490000
573,312,16,1,4990000,3800000,4990000
574,312,14,2,13990000,10000000,27980000
575,312,1,1,27990000,22000000,27990000
576,313,1,2,27990000,22000000,55980000
577,314,9,1,20990000,16000000,20990000
578,315,17,1,2990000,2200000,2990000
579,315,20,1,16990000,12000000,16990000
580,316,16,2,4990000,3800000,9980000
581,317,2,1,22990000,18000000,22990000
582,317,23,2,12990000,9000000,25980000
583,318,4,1,10990000,8500000,10990000
584,318,9,2,20990000,16000000,41980000
585,319,13,1,7490000,5500000,7490000
586,319,18,1,23990000,18000000,23990000
587,319,10,1,7490000,5500000,7490000
588,320,15,1,4990000,3500000,4990000
589,321,3,1,18990000,15000000,18990000
590,321,25,1,490000,250000,490000
591,321,24,1,390000,180000,390000
592,322,10,2,7490000,5500000,14980000
593,323,1,1,27990000,22000000,27990000
594,324,25,1,490000,250000,490000
595,325,16,1,4990000,3800000,4990000
596,325,8,3,28990000,22000000,86970000
597,326,4,1,10990000,8500000,10990000
598,326,20,2,16990000,12000000,33980000
599,327,19,1,69990000,55000000,69990000
600,327,2,2,22990000,18000000,45980000
601,327,1,1,27990000,22000000,27990000
602,327,22,2,24990000,18000000,49980000
603,328,14,1,13990000,10000000,13990000
604,329,14,2,13990000,10000000,27980000
605,330,4,2,10990000,8500000,21980000
606,330,23,2,12990000,9000000,25980000
607,330,11,1,32990000,25000000,32990000
608,331,24,1,390000,180000,390000
609,332,20,2,16990000,12000000,33980000
610,332,25,1,490000,250000,490000
611,333,22,2,24990000,18000000,49980000
