ProductionID,ProductID,MachineID,MachineType,ProductionShift,ProductionSpeed_UPH,ProductionTime
1,24,M07271,Type_20,Morning,80.2,2024-01-01 01:26:31
2,22,M00861,Type_09,Night,87.5,2024-01-01 03:48:19
3,18,M05391,Type_06,Afternoon,117.8,2024-01-01 05:05:28
4,5,M05192,Type_22,Afternoon,86.5,2024-01-01 05:34:23
5,9,M05735,Type_01,Morning,132.3,2024-01-01 05:49:26
6,6,M06266,Type_05,Morning,108.6,2024-01-01 08:46:51
7,16,M00467,Type_20,Morning,111.7,2024-01-01 09:34:57
8,22,M04427,Type_19,Night,104.4,2024-01-01 09:55:23
9,23,M05579,Type_19,Afternoon,125.5,2024-01-01 10:33:29
10,16,M08323,Type_24,Afternoon,125.7,2024-01-01 10:51:42
11,11,M01686,Type_18,Morning,116.7,2024-01-01 11:04:47
12,21,M00770,Type_13,Night,121.3,2024-01-01 11:30:56
13,15,M06950,Type_18,Night,105.8,2024-01-01 12:42:18
14,19,M02434,Type_01,Morning,120.8,2024-01-01 13:37:08
15,3,M05312,Type_17,Morning,103.2,2024-01-01 13:38:14
16,16,M05052,Type_07,Morning,110.0,2024-01-01 13:42:28
17,21,M06421,Type_21,Morning,104.5,2024-01-01 15:48:18
18,20,M01185,Type_23,Afternoon,100.9,2024-01-01 16:13:27
19,5,M04556,Type_09,Afternoon,96.2,2024-01-01 17:25:45
20,9,M03386,Type_19,Morning,119.4,2024-01-01 17:38:59
21,5,M06397,Type_21,Afternoon,136.2,2024-01-01 17:51:54
22,4,M08667,Type_04,Morning,133.4,2024-01-01 19:07:46
23,13,M09275,Type_10,Morning,84.9,2024-01-01 20:03:27
24,20,M02559,Type_13,Morning,135.8,2024-01-01 20:41:33
25,17,M07850,Type_03,Afternoon,103.6,2024-01-01 21:08:05
26,20,M02048,Type_14,Night,122.0,2024-01-01 22:51:47
27,12,M02748,Type_12,Morning,91.9,2024-01-01 23:55:32
28,20,M09168,Type_16,Afternoon,112.8,2024-01-02 00:01:07
29,25,M09999,Type_02,Afternoon,116.3,2024-01-02 00:28:26
30,20,M00190,Type_09,Morning,80.3,2024-01-02 00:54:03
31,7,M02735,Type_15,Afternoon,122.2,2024-01-02 02:28:44
32,1,M03006,Type_08,Morning,136.9,2024-01-02 02:48:57
33,16,M04659,Type_02,Morning,106.5,2024-01-02 04:09:11
34,7,M01900,Type_01,Night,137.2,2024-01-02 04:29:51
35,2,M07735,Type_22,Night,106.2,2024-01-02 04:40:50
36,12,M01268,Type_25,Night,127.0,2024-01-02 04:50:33
37,11,M01529,Type_16,Morning,80.0,2024-01-02 05:41:29
38,8,M03557,Type_02,Morning,158.4,2024-01-02 06:23:39
39,1,M03891,Type_09,Afternoon,139.9,2024-01-02 06:43:49
40,3,M08839,Type_09,Afternoon,104.3,2024-01-02 06:50:36
41,8,M05394,Type_20,Morning,80.0,2024-01-02 07:33:32
42,8,M08793,Type_08,Afternoon,115.8,2024-01-02 08:55:40
43,11,M08434,Type_21,Morning,81.1,2024-01-02 09:23:21
44,21,M07514,Type_08,Night,118.9,2024-01-02 09:36:05
45,5,M02613,Type_21,Morning,118.2,2024-01-02 09:56:47
46,8,M07042,Type_18,Afternoon,91.2,2024-01-02 10:17:18
47,21,M09556,Type_05,Morning,132.4,2024-01-02 11:20:10
48,9,M06236,Type_12,Afternoon,126.1,2024-01-02 13:28:03
49,17,M05487,Type_09,Afternoon,129.5,2024-01-02 13:43:07
50,5,M07100,Type_19,Morning,110.2,2024-01-02 14:02:53
51,19,M09671,Type_11,Night,81.7,2024-01-02 15:53:26
52,19,M00776,Type_23,Night,129.6,2024-01-02 16:34:43
53,2,M08227,Type_22,Night,104.6,2024-01-02 16:59:18
54,19,M03153,Type_14,Night,82.2,2024-01-02 17:00:21
55,23,M01586,Type_03,Afternoon,137.0,2024-01-02 17:40:25
56,15,M03944,Type_10,Night,152.0,2024-01-02 19:32:40
57,8,M07556,Type_13,Morning,109.2,2024-01-02 19:34:52
58,24,M03074,Type_05,Morning,153.2,2024-01-02 22:21:25
59,8,M01022,Type_07,Morning,111.8,2024-01-02 23:50:36
60,1,M03844,Type_09,Morning,102.4,2024-01-03 01:09:28
61,14,M07990,Type_15,Morning,97.4,2024-01-03 02:29:16
62,11,M09693,Type_23,Morning,142.7,2024-01-03 02:29:53
63,7,M06874,Type_21,Night,94.4,2024-01-03 05:23:53
