PurchaseDetailID,PurchaseOrderID,ComponentID,Quantity,UnitCost,SubTotal
1,1,2,215,3400000,731000000
2,1,4,148,9500000,1406000000
3,1,5,317,3200000,1014400000
4,1,7,144,6200000,892800000
5,1,9,80,5800000,464000000
6,1,12,133,5200000,691600000
7,2,2,223,3400000,758200000
8,2,7,1,6200000,6200000
9,2,8,237,1800000,426600000
10,2,10,4,4900000,19600000
11,2,11,113,22000000,2486000000
12,2,13,78,2400000,187200000
13,3,1,420,2800000,1176000000
14,3,2,52,3400000,176800000
15,3,4,3,9500000,28500000
16,3,6,168,4600000,772800000
17,3,7,7,6200000,43400000
18,3,9,14,5800000,81200000
19,3,10,2,4900000,9800000
20,3,13,7,2400000,16800000
21,4,3,173,4200000,726600000
22,4,4,7,9500000,66500000
23,4,9,33,5800000,191400000
24,4,10,150,4900000,735000000
25,4,13,74,2400000,177600000
26,4,54,-347,1400000,-485800000
27,5,14,277,320000,88640000
28,5,15,635,260000,165100000
29,6,17,827,90000,74430000
30,7,15,19,260000,4940000
31,7,16,172,480000,82560000
32,7,17,240,90000,21600000
33,7,18,285,950000,270750000
34,8,16,4,480000,1920000
35,9,14,433,320000,138560000
36,9,15,592,260000,153920000
37,10,20,1673,850000,1422050000
38,10,21,1036,420000,435120000
39,10,22,9,350000,3150000
40,10,24,816,0,0
41,10,26,371,260000,96460000
42,10,46,103,4200000,432600000
43,10,59,733,700000,513100000
44,11,19,126,2200000,277200000
45,11,22,299,350000,104650000
46,11,23,1611,1600000,2577600000
47,11,24,329,0,0
48,11,25,1548,210000,325080000
49,11,45,474,320000,151680000
50,12,19,60,2200000,132000000
51,12,22,1248,350000,436800000
52,12,23,515,1600000,824000000
53,12,24,3215,0,0
54,12,46,27,4200000,113400000
55,12,47,358,1600000,572800000
56,12,59,73,700000,51100000
57,13,27,210,900000,189000000
58,13,28,386,1300000,501800000
59,13,29,136,1100000,149600000
60,13,30,531,1900000,1008900000
61,14,28,106,1300000,137800000
62,14,30,38,1900000,72200000
63,14,55,555,550000,305250000
64,14,56,831,550000,457050000
65,15,28,24,1300000,31200000
66,15,29,777,1100000,854700000
67,15,30,47,1900000,89300000
68,15,55,33,550000,18150000
69,15,56,42,550000,23100000
70,16,27,1129,900000,1016100000
71,16,29,65,1100000,71500000
72,17,31,423,4500000,1903500000
73,17,34,87,180000,15660000
74,17,58,445,700000,311500000
75,18,31,374,4500000,1683000000
76,18,32,392,1800000,705600000
77,18,33,566,650000,367900000
78,18,34,123,180000,22140000
79,18,58,405,700000,283500000
80,19,31,42,4500000,189000000
81,19,34,434,180000,78120000
82,19,58,36,700000,25200000
83,20,35,180,5600000,1008000000
84,21,35,94,5600000,526400000
85,22,36,912,900000,820800000
86,22,39,57,380000,21660000
87,22,57,252,320000,80640000
88,23,37,49,1800000,88200000
89,23,39,235,380000,89300000
90,23,40,135,850000,114750000
91,23,57,77,320000,24640000
92,24,40,78,850000,66300000
93,25,39,363,380000,137940000
94,25,40,78,850000,66300000
95,26,37,301,1800000,541800000
96,27,38,42,2600000,109200000
97,28,38,227,2600000,590200000
98,29,38,76,2600000,197600000
99,30,49,25,2200000,55000000
100,31,50,117,2600000,304200000
101,31,51,123,1800000,221400000
102,32,49,86,2200000,189200000
103,33,48,121,3800000,459800000
104,34,42,29,28000,812000
105,34,44,536,60000,32160000
106,34,52,3488,15000,52320000
107,34,53,554,35000,19390000
108,35,41,183,35000,6405000
109,35,42,25,28000,700000
110,36,41,168,35000,5880000
111,36,42,470,28000,13160000
112,36,43,303,95000,28785000
113,37,41,101,35000,3535000
114,37,43,245,95000,23275000
115,37,53,1292,35000,45220000
116,2,11,113,22000000,2486000000
