TestID,ProductionID,Product_Temp_C,Product_Pressure_PSI,ScreenTestScore,BatteryTestScore,CameraTestScore,PerformanceTestScore,TestDate,QualityStatus
1,1,30.0,16.0,96.6,84.8,92.2,80.8,2024-01-01 02:06:31,Pass
2,2,31.8,16.9,78.2,72.1,91.8,82.4,2024-01-01 05:35:19,Pass
3,3,40.4,16.1,84.7,90.6,84.3,92.2,2024-01-01 07:01:28,Pass
4,4,34.0,18.6,72.0,80.3,79.1,63.9,2024-01-01 06:19:23,Pass
5,5,39.2,16.3,88.2,93.2,70.3,79.6,2024-01-01 06:39:26,Pass
6,6,31.4,18.3,78.6,83.3,75.5,82.1,2024-01-01 10:40:51,Pass
7,7,38.5,17.6,100.0,83.5,84.0,81.6,2024-01-01 11:28:57,Pass
8,8,33.9,17.7,38.5,64.7,57.2,63.3,2024-01-01 11:52:23,Defect
9,9,36.7,13.7,78.5,68.0,74.7,82.4,2024-01-01 11:56:29,Pass
10,10,36.0,16.3,70.5,65.2,93.6,82.2,2024-01-01 12:41:42,Pass
11,11,36.1,16.6,78.2,87.8,75.1,77.0,2024-01-01 12:54:47,Pass
12,12,35.1,15.6,75.0,76.9,72.6,78.0,2024-01-01 12:08:56,Pass
13,13,39.9,16.2,80.3,65.6,73.3,65.5,2024-01-01 13:51:18,Pass
14,14,29.5,14.5,100.0,95.0,93.7,91.4,2024-01-01 14:57:08,Pass
15,15,36.8,18.2,82.0,78.8,84.7,90.1,2024-01-01 15:17:14,Pass
16,16,32.3,16.0,74.7,93.4,79.7,100.0,2024-01-01 15:33:28,Pass
17,17,30.9,16.6,70.9,72.0,75.3,81.0,2024-01-01 16:39:18,Pass
18,18,43.1,14.8,76.9,62.1,85.9,87.3,2024-01-01 17:11:27,Pass
19,19,30.5,18.4,88.3,93.9,86.3,76.7,2024-01-01 18:18:45,Pass
20,20,28.2,17.2,88.7,94.5,83.6,83.0,2024-01-01 18:38:59,Pass
21,21,40.1,17.6,93.3,85.7,75.1,75.1,2024-01-01 19:02:54,Pass
22,22,34.2,19.0,82.9,45.3,75.4,65.9,2024-01-01 20:31:46,Defect
23,23,38.8,15.7,89.6,61.9,92.3,99.0,2024-01-01 20:34:27,Pass
24,24,27.3,16.9,69.2,78.3,59.6,61.9,2024-01-01 22:22:33,Defect
25,25,42.1,16.8,73.6,94.7,84.3,87.4,2024-01-01 22:27:05,Pass
26,26,39.4,15.2,74.2,59.1,73.9,66.0,2024-01-02 00:30:47,Defect
27,27,33.3,16.6,69.9,77.0,61.3,76.0,2024-01-02 00:53:32,Pass
28,28,28.2,14.8,87.5,84.5,83.3,84.5,2024-01-02 00:53:07,Pass
29,29,30.0,16.0,69.5,58.2,71.6,66.9,2024-01-02 01:37:26,Defect
30,30,30.7,13.6,73.0,68.6,68.3,79.3,2024-01-02 02:43:03,Pass
31,31,38.5,14.8,87.9,100.0,77.2,95.0,2024-01-02 03:33:44,Pass
32,32,32.9,13.3,58.0,61.2,73.0,78.8,2024-01-02 03:45:57,Defect
33,33,26.6,18.3,84.0,69.4,89.4,87.0,2024-01-02 05:02:11,Pass
34,34,37.3,17.0,85.2,67.8,69.0,66.0,2024-01-02 05:53:51,Pass
35,35,38.8,15.3,91.1,53.2,85.4,74.2,2024-01-02 05:58:50,Defect
36,36,44.6,14.9,66.8,61.6,49.1,58.8,2024-01-02 05:23:33,Defect
37,37,29.4,17.7,74.7,70.2,90.5,87.6,2024-01-02 06:58:29,Pass
38,38,33.7,18.7,62.6,52.3,73.5,66.0,2024-01-02 07:05:39,Defect
39,39,25.0,17.2,67.7,71.3,79.7,72.8,2024-01-02 07:56:49,Pass
40,40,28.5,18.0,81.4,63.5,79.2,79.0,2024-01-02 08:18:36,Pass
41,41,29.2,16.0,89.2,75.7,94.7,87.1,2024-01-02 08:24:32,Pass
42,42,31.7,12.9,92.0,98.9,85.8,80.4,2024-01-02 09:31:40,Pass
43,43,31.4,15.8,76.8,86.4,93.7,70.6,2024-01-02 11:09:21,Pass
44,44,37.8,16.2,59.9,74.4,66.8,72.0,2024-01-02 10:34:05,Defect
45,45,37.5,17.6,84.5,90.7,87.0,96.5,2024-01-02 11:03:47,Pass
46,46,32.0,15.4,79.6,85.2,97.9,89.0,2024-01-02 11:03:18,Pass
47,47,36.2,14.3,77.5,81.8,77.8,63.9,2024-01-02 12:13:10,Pass
48,48,30.4,13.3,72.5,74.3,76.6,71.9,2024-01-02 14:11:03,Pass
49,49,33.7,17.0,70.0,67.5,82.3,67.2,2024-01-02 14:19:07,Pass
50,50,29.8,15.6,86.3,84.6,81.6,84.3,2024-01-02 15:36:53,Pass
51,51,30.6,14.3,84.5,62.0,86.7,78.3,2024-01-02 17:14:26,Pass
52,52,43.4,16.9,75.9,35.1,55.9,51.6,2024-01-02 17:08:43,Defect
53,53,35.3,17.2,65.9,83.8,68.7,70.9,2024-01-02 17:39:18,Defect
54,54,31.2,15.7,77.4,74.7,80.8,70.3,2024-01-02 18:16:21,Pass
55,55,38.3,17.5,71.2,82.9,87.6,82.0,2024-01-02 18:30:25,Pass
56,56,35.5,17.0,75.2,56.7,46.8,72.5,2024-01-02 20:29:40,Defect
57,57,41.7,15.8,65.9,82.8,70.7,65.0,2024-01-02 20:16:52,Pass
58,58,38.6,15.7,59.0,61.1,53.1,50.2,2024-01-02 23:24:25,Defect
59,59,30.4,15.5,84.7,71.8,90.2,78.0,2024-01-03 00:40:36,Pass
60,60,39.9,16.0,67.9,76.8,77.6,68.3,2024-01-03 02:36:28,Defect
61,61,36.8,18.2,86.4,91.2,88.9,94.0,2024-01-03 03:05:16,Pass
62,62,38.5,17.8,66.7,67.4,60.1,63.5,2024-01-03 03:28:53,Defect
63,63,37.5,16.8,60.0,58.3,72.4,76.2,2024-01-03 06:34:53,Defect
64,64,38.7,18.7,65.9,64.5,67.8,69.7,2024-01-03 07:09:57,Defect
65,65,36.5,17.7,85.5,91.5,98.9,84.1,2024-01-03 08:27:42,Pass
66,66,33.9,15.8,75.3,90.7,96.4,71.6,2024-01-03 09:42:42,Pass
67,67,39.7,16.9,86.6,92.9,92.7,82.7,2024-01-03 09:55:45,Pass
68,68,33.9,18.0,58.9,69.4,66.9,46.0,2024-01-03 11:30:56,Defect
69,69,39.9,16.1,94.1,74.3,77.2,68.1,2024-01-03 12:24:45,Pass
70,70,38.1,15.7,70.4,80.8,67.9,55.3,2024-01-03 13:25:09,Defect
71,71,37.3,18.7,46.8,69.9,64.6,51.4,2024-01-03 13:36:12,Defect
72,72,38.2,16.8,92.0,67.7,82.7,73.1,2024-01-03 14:13:04,Pass
73,73,35.0,17.6,78.0,100.0,98.5,87.9,2024-01-03 14:13:08,Pass
74,74,39.6,14.9,78.1,100.0,75.1,81.8,2024-01-03 17:02:53,Pass
75,75,38.9,17.4,82.2,79.8,81.1,83.5,2024-01-03 18:32:10,Pass
76,76,35.6,15.7,75.6,63.5,86.4,71.8,2024-01-03 19:08:48,Pass
77,77,25.0,15.9,84.3,69.7,74.9,67.8,2024-01-03 20:42:17,Pass
78,78,39.2,14.6,97.3,73.5,87.4,83.4,2024-01-03 23:28:05,Pass
79,79,36.8,15.7,55.8,55.9,82.4,72.0,2024-01-04 00:28:03,Defect
80,80,43.2,13.9,74.4,67.0,81.1,79.9,2024-01-04 00:49:55,Pass
81,81,28.9,17.7,83.3,61.1,75.2,80.5,2024-01-04 00:55:18,Pass
82,82,33.6,15.2,88.4,99.8,90.5,99.0,2024-01-04 02:15:38,Pass
83,83,28.7,16.5,82.4,61.5,65.3,78.4,2024-01-04 03:37:46,Pass
84,84,34.0,14.3,81.5,72.9,83.3,82.7,2024-01-04 05:41:51,Pass
85,85,41.5,16.7,67.7,74.0,66.5,73.6,2024-01-04 07:39:28,Pass
86,86,27.5,12.2,81.3,80.7,75.4,62.3,2024-01-04 07:18:35,Defect
87,87,29.7,14.6,86.5,75.9,74.2,85.2,2024-01-04 08:48:40,Pass
88,88,37.0,18.0,83.6,78.3,79.5,79.0,2024-01-04 08:13:52,Pass
89,89,36.1,15.0,74.2,87.4,73.9,76.0,2024-01-04 10:22:49,Pass
90,90,34.3,15.7,73.6,79.7,81.2,86.5,2024-01-04 10:26:41,Pass
91,91,25.9,12.8,82.3,62.6,73.4,68.8,2024-01-04 11:44:03,Pass
92,92,40.0,18.0,63.4,64.6,88.5,56.5,2024-01-04 12:07:27,Defect
93,93,35.7,15.6,72.8,57.5,65.5,64.9,2024-01-04 13:09:11,Defect
94,94,31.8,18.0,65.6,72.3,72.3,74.7,2024-01-04 13:47:17,Pass
95,95,35.6,15.0,94.0,73.7,87.6,79.2,2024-01-04 13:47:43,Pass
96,96,42.2,13.8,81.3,62.6,72.7,52.5,2024-01-04 15:01:36,Defect
97,97,34.3,18.1,70.0,89.0,70.5,64.0,2024-01-04 14:04:37,Pass
98,98,31.6,16.6,100.0,100.0,93.1,80.9,2024-01-04 16:21:47,Pass
99,99,36.8,16.2,54.3,53.7,63.1,64.9,2024-01-04 16:06:46,Defect
100,100,38.6,15.1,69.9,62.4,59.3,62.0,2024-01-04 16:12:32,Defect
101,101,36.9,17.8,86.0,81.0,79.3,82.5,2024-01-04 16:07:12,Pass
102,102,33.5,13.2,79.0,80.0,78.3,67.8,2024-01-04 15:55:13,Pass
103,103,39.8,17.2,92.7,77.7,97.1,85.0,2024-01-04 18:12:29,Pass
104,104,32.2,14.2,82.9,83.2,77.4,92.4,2024-01-04 17:58:12,Pass
105,105,35.6,16.7,57.0,54.7,55.2,82.1,2024-01-04 18:41:55,Defect
106,106,34.9,19.0,83.8,96.2,86.0,81.7,2024-01-04 20:32:40,Pass
107,107,28.9,15.9,91.8,83.6,97.4,76.7,2024-01-04 21:08:46,Pass
108,108,38.0,15.9,79.6,84.2,74.9,64.1,2024-01-04 23:22:10,Pass
109,109,35.1,15.2,94.8,100.0,81.7,73.8,2024-01-05 00:19:34,Pass
110,110,35.3,15.8,78.3,79.0,69.0,74.4,2024-01-05 02:17:20,Pass
111,111,36.7,15.3,85.2,81.4,100.0,85.8,2024-01-05 02:29:41,Pass
112,112,34.7,16.0,96.0,71.3,73.1,72.2,2024-01-05 03:18:48,Pass
113,113,40.5,15.6,82.2,75.9,64.3,62.2,2024-01-05 03:10:54,Pass
114,114,36.8,15.7,81.4,84.6,82.4,80.2,2024-01-05 03:18:18,Pass
