ProductID,ProductName,CategoryName,StockQuantity,ReorderLevel,Forecast_NextMonth_Demand,Forecast_Revenue,Forecast_Profit,Suggested_Order,Risk_Classification
19,"Samsung 65"" Neo QLED 8K",TVs & Displays,15,4,11.4,797886000.0,528447000.0,0.4,BALANCED (OK)
6,Samsung Galaxy Z Fold6,Smartphones,45,10,11.1,443889000.0,140581500.0,0.0,OVERSTOCK RISK
1,Samsung Galaxy S25 Ultra,Smartphones,85,20,11.0,307890000.0,87175000.0,0.0,OVERSTOCK RISK
8,Samsung Galaxy Tab S10 Ultra,Tablets,50,12,11.0,318890000.0,127105000.0,0.0,OVERSTOCK RISK
11,Samsung Galaxy Book4 Pro,Laptops,35,10,11.0,362890000.0,168905000.0,0.0,BALANCED (OK)
9,Samsung Galaxy Tab S10+,Tablets,65,15,10.9,228791000.0,69269500.0,0.0,OVERSTOCK RISK
18,Samsung HW-Q990D Soundbar,Earphones & Audio,20,5,10.9,261491000.0,195927500.0,0.0,BALANCED (OK)
22,Samsung Bespoke French Door Fridge,Home Appliances,20,5,10.9,272391000.0,206609500.0,0.0,BALANCED (OK)
7,Samsung Galaxy Z Flip6,Smartphones,60,15,10.9,261491000.0,90306500.0,0.0,OVERSTOCK RISK
3,Samsung Galaxy S25,Smartphones,140,30,10.9,206991000.0,84856500.0,0.0,OVERSTOCK RISK
2,Samsung Galaxy S25+,Smartphones,110,25,10.9,250591000.0,91614500.0,0.0,OVERSTOCK RISK
12,Samsung Galaxy Book4 360,Laptops,40,10,10.9,261491000.0,87799500.0,0.0,OVERSTOCK RISK
23,Samsung WW12DG Washing Machine,Home Appliances,25,6,10.8,140292000.0,92394000.0,0.0,BALANCED (OK)
13,Samsung Galaxy Watch7,Smartwatches,90,20,10.8,80892000.0,42930000.0,0.0,OVERSTOCK RISK
5,Samsung Galaxy A36,Smartphones,200,50,10.8,91692000.0,31698000.0,0.0,OVERSTOCK RISK
4,Samsung Galaxy A56,Smartphones,180,40,10.8,118692000.0,18738000.0,0.0,OVERSTOCK RISK
10,Samsung Galaxy Tab A9+,Tablets,120,30,10.8,80892000.0,22302000.0,0.0,OVERSTOCK RISK
21,"Samsung 43"" Crystal 4K",TVs & Displays,55,15,10.8,80892000.0,54810000.0,0.0,OVERSTOCK RISK
14,Samsung Galaxy Watch Ultra,Smartwatches,50,15,10.8,151092000.0,103410000.0,0.0,OVERSTOCK RISK
20,"Samsung 55"" QLED 4K Q80D",TVs & Displays,30,8,10.8,183492000.0,109674000.0,0.0,BALANCED (OK)
25,Samsung 45W Travel Adapter,Accessories,400,100,10.7,5243000.0,3124400.0,0.0,OVERSTOCK RISK
17,Samsung Galaxy Buds3,Earphones & Audio,150,40,10.7,31993000.0,25519500.0,0.0,OVERSTOCK RISK
16,Samsung Galaxy Buds3 Pro,Earphones & Audio,120,30,10.7,53393000.0,46919500.0,0.0,OVERSTOCK RISK
15,Samsung Galaxy Watch FE,Smartwatches,110,25,10.7,53393000.0,18564500.0,0.0,OVERSTOCK RISK
24,Samsung Clear Case S25 Ultra,Accessories,300,80,10.7,4173000.0,3638000.0,0.0,OVERSTOCK RISK
