MachineID,MachineType,Temperature_C,Vibration_mm_s,Voltage_V,Current_A,Power_Consumption_kWh,Runtime_Hours,Failure_Status,Predict_Failure_Prob,Current_Status,Alert_Reason_vs_Specs,Top_Risk_Factor
M00280,Type_15,108.28,10.96,244.5,45.24,9.955,328.6,1,1.0,Failed,Temp 108.3C > Spec Max 98.4 | Vib 10.96 > Spec Max 9.29 | Volt 244.5 > Spec Max 232.7 | Curr 45.2 > Spec Max 35.6,Vibration_mm_s (11.0)
M00426,Type_20,109.58,9.36,241.1,41.89,9.09,200.2,1,1.0,Failed,Temp 109.6C > Spec Max 107.4 | Vib 9.36 > Spec Max 8.2 | Volt 241.1 > Spec Max 230.4 | Curr 41.9 > Spec Max 32.7,Vibration_mm_s (9.4)
M00663,Type_05,123.29,11.31,252.3,42.35,9.616,959.5,1,1.0,Failed,Temp 123.3C > Spec Max 119.9 | Vib 11.31 > Spec Max 9.77 | Volt 252.3 > Spec Max 238.3 | Curr 42.4 > Spec Max 38.7,Vibration_mm_s (11.3)
M00708,Type_01,117.47,7.04,239.5,53.32,11.493,419.4,1,1.0,Failed,Temp 117.5C > Spec Max 109.1 | Vib 7.04 > Spec Max 4.94 | Volt 239.5 > Spec Max 231.3 | Curr 53.3 > Spec Max 49.6,Vibration_mm_s (7.0)
M01054,Type_22,113.0,8.14,244.4,40.76,8.966,312.7,1,1.0,Failed,Temp 113.0C > Spec Max 106.8 | Vib 8.14 > Spec Max 5.83 | Volt 244.4 > Spec Max 237.0 | Curr 40.8 > Spec Max 36.1,Vibration_mm_s (8.1)
M01074,Type_12,100.0,6.28,241.3,36.18,7.857,753.2,1,1.0,Failed,Temp 100.0C > Spec Max 97.3 | Vib 6.28 > Spec Max 4.55 | Volt 241.3 > Spec Max 232.5 | Curr 36.2 > Spec Max 32.4,Vibration_mm_s (6.3)
M01076,Type_23,101.57,12.32,240.1,55.07,11.9,158.2,1,1.0,Failed,Temp 101.6C > Spec Max 94.8 | Vib 12.32 > Spec Max 9.94 | Volt 240.1 > Spec Max 236.1 | Curr 55.1 > Spec Max 45.6,Vibration_mm_s (12.3)
M01096,Type_01,113.71,7.73,237.4,58.26,12.448,832.8,1,1.0,Failed,Temp 113.7C > Spec Max 109.1 | Vib 7.73 > Spec Max 4.94 | Volt 237.4 > Spec Max 231.3 | Curr 58.3 > Spec Max 49.6,Vibration_mm_s (7.7)
M01154,Type_12,101.46,6.48,236.5,36.77,7.826,460.9,1,1.0,Failed,Temp 101.5C > Spec Max 97.3 | Vib 6.48 > Spec Max 4.55 | Volt 236.5 > Spec Max 232.5 | Curr 36.8 > Spec Max 32.4,Vibration_mm_s (6.5)
M01272,Type_08,108.97,11.29,248.7,54.92,12.293,875.0,1,1.0,Failed,Temp 109.0C > Spec Max 101.5 | Vib 11.29 > Spec Max 9.83 | Volt 248.7 > Spec Max 234.1 | Curr 54.9 > Spec Max 49.8,Vibration_mm_s (11.3)
M01493,Type_16,108.69,9.51,241.8,51.55,11.218,147.9,1,1.0,Failed,Temp 108.7C > Spec Max 106.0 | Vib 9.51 > Spec Max 6.87 | Volt 241.8 > Spec Max 233.3 | Curr 51.5 > Spec Max 47.2,Vibration_mm_s (9.5)
M01911,Type_15,100.71,10.12,239.2,38.49,8.286,729.2,1,1.0,Failed,Temp 100.7C > Spec Max 98.4 | Vib 10.12 > Spec Max 9.29 | Volt 239.2 > Spec Max 232.7 | Curr 38.5 > Spec Max 35.6,Vibration_mm_s (10.1)
M02065,Type_05,123.25,10.94,248.7,45.93,10.281,726.7,1,1.0,Failed,Temp 123.2C > Spec Max 119.9 | Vib 10.94 > Spec Max 9.77 | Volt 248.7 > Spec Max 238.3 | Curr 45.9 > Spec Max 38.7,Vibration_mm_s (10.9)
M02079,Type_09,116.66,6.46,249.9,33.63,7.564,85.8,1,1.0,Failed,Temp 116.7C > Spec Max 114.9 | Vib 6.46 > Spec Max 4.56 | Volt 249.9 > Spec Max 237.9 | Curr 33.6 > Spec Max 30.8,Vibration_mm_s (6.5)
M02084,Type_12,106.26,6.99,243.4,40.23,8.813,683.1,1,1.0,Failed,Temp 106.3C > Spec Max 97.3 | Vib 6.99 > Spec Max 4.55 | Volt 243.4 > Spec Max 232.5 | Curr 40.2 > Spec Max 32.4,Vibration_mm_s (7.0)
M02526,Type_18,111.96,6.38,244.2,48.2,10.593,395.5,1,1.0,Failed,Temp 112.0C > Spec Max 109.1 | Vib 6.38 > Spec Max 4.33 | Volt 244.2 > Spec Max 238.6 | Curr 48.2 > Spec Max 43.8,Vibration_mm_s (6.4)
M02589,Type_16,110.71,7.9,237.6,55.38,11.842,136.4,1,1.0,Failed,Temp 110.7C > Spec Max 106.0 | Vib 7.90 > Spec Max 6.87 | Volt 237.6 > Spec Max 233.3 | Curr 55.4 > Spec Max 47.2,Vibration_mm_s (7.9)
M02793,Type_25,114.58,10.33,244.5,47.35,10.419,849.7,1,1.0,Failed,Temp 114.6C > Spec Max 112.4 | Vib 10.33 > Spec Max 8.36 | Volt 244.5 > Spec Max 233.5 | Curr 47.4 > Spec Max 37.7,Vibration_mm_s (10.3)
M02969,Type_25,114.18,9.59,243.4,43.18,9.459,344.8,1,1.0,Failed,Temp 114.2C > Spec Max 112.4 | Vib 9.59 > Spec Max 8.36 | Volt 243.4 > Spec Max 233.5 | Curr 43.2 > Spec Max 37.7,Vibration_mm_s (9.6)
M03179,Type_10,117.64,6.96,246.3,55.92,12.396,203.0,1,1.0,Failed,Temp 117.6C > Spec Max 114.0 | Vib 6.96 > Spec Max 4.27 | Volt 246.3 > Spec Max 235.6 | Curr 55.9 > Spec Max 47.0,Vibration_mm_s (7.0)
M03192,Type_16,108.47,8.86,241.2,56.75,12.319,779.2,1,1.0,Failed,Temp 108.5C > Spec Max 106.0 | Vib 8.86 > Spec Max 6.87 | Volt 241.2 > Spec Max 233.3 | Curr 56.8 > Spec Max 47.2,Vibration_mm_s (8.9)
M03301,Type_18,118.77,5.85,249.9,49.82,11.205,67.0,1,1.0,Failed,Temp 118.8C > Spec Max 109.1 | Vib 5.85 > Spec Max 4.33 | Volt 249.9 > Spec Max 238.6 | Curr 49.8 > Spec Max 43.8,Vibration_mm_s (5.8)
M03313,Type_16,108.61,7.48,236.5,54.45,11.59,517.3,1,1.0,Failed,Temp 108.6C > Spec Max 106.0 | Vib 7.48 > Spec Max 6.87 | Volt 236.5 > Spec Max 233.3 | Curr 54.5 > Spec Max 47.2,Vibration_mm_s (7.5)
M03379,Type_19,107.87,8.79,243.5,50.87,11.148,700.0,1,1.0,Failed,Temp 107.9C > Spec Max 98.4 | Vib 8.79 > Spec Max 6.66 | Volt 243.5 > Spec Max 239.9 | Curr 50.9 > Spec Max 46.9,Vibration_mm_s (8.8)
M03380,Type_25,118.94,11.31,237.4,44.36,9.478,89.9,1,1.0,Failed,Temp 118.9C > Spec Max 112.4 | Vib 11.31 > Spec Max 8.36 | Volt 237.4 > Spec Max 233.5 | Curr 44.4 > Spec Max 37.7,Vibration_mm_s (11.3)
M03787,Type_03,86.47,10.54,249.9,58.81,13.227,637.4,1,1.0,Failed,Temp 86.5C > Spec Max 80.1 | Vib 10.54 > Spec Max 8.42 | Volt 249.9 > Spec Max 235.0 | Curr 58.8 > Spec Max 49.0,Vibration_mm_s (10.5)
M03813,Type_09,124.14,5.3,241.7,34.44,7.492,126.6,1,1.0,Failed,Temp 124.1C > Spec Max 114.9 | Vib 5.30 > Spec Max 4.56 | Volt 241.7 > Spec Max 237.9 | Curr 34.4 > Spec Max 30.8,Vibration_mm_s (5.3)
M04060,Type_01,111.93,6.39,239.2,53.33,11.481,638.7,1,1.0,Failed,Temp 111.9C > Spec Max 109.1 | Vib 6.39 > Spec Max 4.94 | Volt 239.2 > Spec Max 231.3 | Curr 53.3 > Spec Max 49.6,Vibration_mm_s (6.4)
M04418,Type_18,118.94,6.95,252.6,48.19,10.956,244.1,1,1.0,Failed,Temp 118.9C > Spec Max 109.1 | Vib 6.95 > Spec Max 4.33 | Volt 252.6 > Spec Max 238.6 | Curr 48.2 > Spec Max 43.8,Vibration_mm_s (7.0)
M04526,Type_07,117.33,9.41,241.1,37.6,8.159,657.5,1,1.0,Failed,Temp 117.3C > Spec Max 108.4 | Vib 9.41 > Spec Max 8.19 | Volt 241.1 > Spec Max 231.5 | Curr 37.6 > Spec Max 33.1,Vibration_mm_s (9.4)
M04660,Type_20,112.39,8.77,240.0,42.6,9.202,97.7,1,1.0,Failed,Temp 112.4C > Spec Max 107.4 | Vib 8.77 > Spec Max 8.2 | Volt 240.0 > Spec Max 230.4 | Curr 42.6 > Spec Max 32.7,Vibration_mm_s (8.8)
M04849,Type_15,106.95,10.83,235.2,45.43,9.617,408.5,1,1.0,Failed,Temp 107.0C > Spec Max 98.4 | Vib 10.83 > Spec Max 9.29 | Volt 235.2 > Spec Max 232.7 | Curr 45.4 > Spec Max 35.6,Vibration_mm_s (10.8)
M04888,Type_17,87.05,6.59,237.7,49.75,10.643,507.9,1,1.0,Failed,Temp 87.0C > Spec Max 85.9 | Vib 6.59 > Spec Max 6.02 | Volt 237.7 > Spec Max 235.0 | Curr 49.8 > Spec Max 42.8,Vibration_mm_s (6.6)
M04986,Type_18,118.72,5.81,249.0,52.67,11.803,599.8,1,1.0,Failed,Temp 118.7C > Spec Max 109.1 | Vib 5.81 > Spec Max 4.33 | Volt 249.0 > Spec Max 238.6 | Curr 52.7 > Spec Max 43.8,Vibration_mm_s (5.8)
M05162,Type_07,111.26,10.87,242.0,36.28,7.902,565.9,1,1.0,Failed,Temp 111.3C > Spec Max 108.4 | Vib 10.87 > Spec Max 8.19 | Volt 242.0 > Spec Max 231.5 | Curr 36.3 > Spec Max 33.1,Vibration_mm_s (10.9)
M05512,Type_09,118.84,6.84,242.0,35.64,7.762,510.5,1,1.0,Failed,Temp 118.8C > Spec Max 114.9 | Vib 6.84 > Spec Max 4.56 | Volt 242.0 > Spec Max 237.9 | Curr 35.6 > Spec Max 30.8,Vibration_mm_s (6.8)
