Feature,Importance_Score
AvgTestScore,0.30600295493345225
MinTestScore,0.2673752353196145
BatteryTestScore,0.13059727848427916
CameraTestScore,0.08434914948948817
ScreenTestScore,0.06953006730553217
PerformanceTestScore,0.06247094785992815
Product_Pressure_PSI,0.04535227859675702
Product_Temp_C,0.015491644214827655
ProductionSpeed_UPH,0.01361659738683859
MachineType_Encoded,0.0024870109207048444
Shift_Night,0.001703741122123019
Shift_Morning,0.0005816512139421681
Shift_Afternoon,0.0004414431525121699
